"","Yr","sum_TP_kgyr"
"1",2012,673.044533221912
"2",2013,602.430945753249
"3",2014,732.929979283771
"4",2015,714.035640686714
"5",2016,996.970355101968
"6",2017,749.902859718416
"7",2018,978.39625953198
"8",2019,752.945168475569
"9",2020,717.55831398447
"10",2021,611.717993538243
"11",2022,808.827576699069
