"","Yr","Source","TotP_kgday"
"1","2012","stratified zone",53.6074450854913
"2","2012","unstratified zone",1912.464
"3","2013","stratified zone",3451.27702080071
"4","2013","unstratified zone",1912.464
"5","2014","stratified zone",9008.43589483245
"6","2014","unstratified zone",1912.464
"7","2015","stratified zone",6930.85198503442
"8","2015","unstratified zone",1912.464
"9","2016","stratified zone",-1557.06974432855
"10","2016","unstratified zone",1912.464
"11","2017","stratified zone",6238.3152661085
"12","2017","unstratified zone",1912.464
"13","2018","stratified zone",5710.28152887242
"14","2018","unstratified zone",1912.464
