"","sampledate","Source","Pext_kgday","Yr"
"1",2013-07-15,"Patm_kgday",6.698,"2013"
"2",2013-07-16,"Patm_kgday",6.698,"2013"
"3",2013-07-17,"Patm_kgday",6.698,"2013"
"4",2013-07-18,"Patm_kgday",6.698,"2013"
"5",2013-07-19,"Patm_kgday",6.698,"2013"
"6",2013-07-20,"Patm_kgday",6.698,"2013"
"7",2013-07-21,"Patm_kgday",64.3417448723778,"2013"
"8",2013-07-22,"Patm_kgday",11.1814023789627,"2013"
"9",2013-07-23,"Patm_kgday",6.698,"2013"
"10",2013-07-24,"Patm_kgday",6.698,"2013"
"11",2013-07-25,"Patm_kgday",9.25994421655012,"2013"
"12",2013-07-26,"Patm_kgday",15.9850477849942,"2013"
"13",2013-07-27,"Patm_kgday",7.01824302706877,"2013"
"14",2013-07-28,"Patm_kgday",7.33848605413753,"2013"
"15",2013-07-29,"Patm_kgday",6.698,"2013"
"16",2013-07-30,"Patm_kgday",6.698,"2013"
"17",2013-07-31,"Patm_kgday",6.698,"2013"
"18",2013-08-01,"Patm_kgday",6.698,"2013"
"19",2013-08-02,"Patm_kgday",10.5409163248252,"2013"
"20",2013-08-03,"Patm_kgday",6.698,"2013"
"21",2013-08-04,"Patm_kgday",6.698,"2013"
"22",2013-08-05,"Patm_kgday",8.61945816241259,"2013"
"23",2013-08-06,"Patm_kgday",6.698,"2013"
"24",2013-08-07,"Patm_kgday",6.698,"2013"
"25",2013-08-08,"Patm_kgday",6.698,"2013"
"26",2013-08-09,"Patm_kgday",6.698,"2013"
"27",2013-08-10,"Patm_kgday",6.698,"2013"
"28",2013-08-11,"Patm_kgday",10.5409163248252,"2013"
"29",2013-08-12,"Patm_kgday",8.61945816241259,"2013"
"30",2013-08-13,"Patm_kgday",6.698,"2013"
"31",2013-08-14,"Patm_kgday",6.698,"2013"
"32",2013-08-15,"Patm_kgday",6.698,"2013"
"33",2013-08-16,"Patm_kgday",6.698,"2013"
"34",2013-08-17,"Patm_kgday",6.698,"2013"
"35",2013-08-18,"Patm_kgday",6.698,"2013"
"36",2013-08-19,"Patm_kgday",6.698,"2013"
"37",2013-08-20,"Patm_kgday",6.698,"2013"
"38",2013-08-21,"Patm_kgday",26.3929461647291,"2013"
"39",2013-08-22,"Patm_kgday",46.0878923294581,"2013"
"40",2013-08-23,"Patm_kgday",6.698,"2013"
"41",2013-08-24,"Patm_kgday",6.698,"2013"
"42",2013-08-25,"Patm_kgday",6.698,"2013"
