"","Yr","Source","TotP_kgday"
"1",2012,"external load",2069.43994152487
"2",2012,"internal load",-2230.51439284033
"3",2013,"external load",3214.92265937722
"4",2013,"internal load",5363.74102080071
"5",2014,"external load",4524.99841868708
"6",2014,"internal load",10920.8998948324
"7",2015,"external load",4692.48615023641
"8",2015,"internal load",8843.31598503442
"9",2016,"external load",7685.56716982898
"10",2016,"internal load",355.394255671451
"11",2017,"external load",6466.02305451543
"12",2017,"internal load",8150.77926610849
"13",2018,"external load",16462.1703332911
"14",2018,"internal load",7622.74552887242
