"","2013","2014","2015","2016","2017","2018","Sum_Sq_part"
"CD_cellsmL_k7  ",187873841827.337,157693237598.545,89244066274.6637,24521425627.0106,103622658958.508,46317545954.7926,"Seed Stock"
"log10(Pint_k21)",63958730.0985847,103883951164.203,137167173.441253,23383287655.7228,52992347779.8366,56785476407.898,"Internal load"
"log10(Pext_k28)",811510320.408735,372181615.207119,2466401692.03786,22854586.6356733,20743706603.4504,5187319138.89058,"External load"
"Residuals      ",25558264887.9679,84260685000.2608,55315645462.7682,111396836552.439,64601559609.4455,9483862706.08062,"Residual"
