"","sampledate","TotP_mgL","X","Patm_kgday","Pstreams_kgday","Pext_kgday_noother","Pother_kgday","Pext_kgday","daynum","Yr"
"1",2013-07-22,0.03,8,11.1814023789627,70.882639838889,82.0640422178517,38.5700998423903,120.634142060242,203,2013
"2",2013-08-05,0.03,22,8.61945816241259,28.708006896722,37.3274650591346,17.5439085777933,54.8713736369278,217,2013
"3",2013-08-21,0.02,38,26.3929461647291,17.9541889006795,44.3471350654086,20.843153480742,65.1902885461506,233,2013
"4",2013-09-04,0.02,52,6.698,17.9503719977122,24.6483719977122,11.5847348389247,36.2331068366369,247,2013
"5",2014-07-21,0.03,70,6.698,25.145275036112,31.843275036112,14.9663392669726,46.8096143030846,202,2014
"6",2014-08-04,0.03,84,62.4202867099652,46.8805682330894,109.300854943055,51.3714018232357,160.67225676629,216,2014
"7",2014-08-20,0.03,100,6.698,20.7676918889785,27.4656918889785,12.9088751878199,40.3745670767984,232,2014
"8",2014-09-02,0.02,113,6.698,20.4077573883858,27.1057573883858,12.7397059725413,39.8454633609271,245,2014
"9",2015-07-20,0.04,132,6.698,35.7278478973019,42.4258478973019,19.9401485117319,62.3659964090338,201,2015
"10",2015-08-03,0.029,146,6.698,18.0167724467996,24.7147724467996,11.6159430499958,36.3307154967954,215,2015
"11",2015-08-18,0.0225,161,55.3749401144523,49.062551381751,104.437491496203,49.0856210032156,153.523112499419,230,2015
"12",2015-08-31,0.026,174,6.698,26.8559737570598,33.5539737570598,15.7703676658181,49.3243414228779,243,2015
"13",2016-07-18,0.0225,194,6.698,29.7756005003626,36.4736005003626,17.1425922351704,53.616192735533,200,2016
"14",2016-08-01,0.0223333333333333,208,6.698,28.5157102812886,35.2137102812886,16.5504438322056,51.7641541134942,214,2016
"15",2016-08-15,0.0185,222,6.698,29.4444030976941,36.1424030976941,16.9869294559162,53.1293325536103,228,2016
"16",2016-08-30,0.02,237,10.8611593518939,39.9084404528085,50.7695998047024,23.8617119082101,74.6313117129125,243,2016
"17",2017-07-24,0.046,262,6.698,266.184770072216,272.882770072216,128.254901933942,401.137672006157,205,2017
"18",2017-08-07,0.042,276,6.698,59.2230383042897,65.9210383042897,30.9828880030162,96.9039263073059,219,2017
"19",2017-08-23,0.0325,292,6.698,50.2327490295509,56.9307490295509,26.7574520438889,83.6882010734398,235,2017
"20",2017-09-06,0.029,306,6.698,28.8927330578215,35.5907330578215,16.7276445371761,52.3183775949976,249,2017
"21",2018-07-23,0.0395,324,6.698,28.647107066562,35.345107066562,16.6122003212841,51.9573073878461,204,2018
"22",2018-08-06,0.019,338,31.0364700572262,47.8043930823158,78.840863139542,37.0552056755847,115.896068815127,218,2018
"23",2018-08-22,0.0245,354,6.698,593.167282508846,599.865282508846,281.936682779158,881.801965288004,234,2018
"24",2018-09-04,0.0256666666666667,367,26.0727031376603,132.574612684439,158.647315822099,74.5642384363867,233.211554258486,247,2018
