"","2013","2014","2015","2016","2017","2018","Sum_Sq_part"
"log10(Pint_k21)      ",126653988.846936,9540668062.53997,59038760160.4207,27187253263.1539,174173011709.105,9455473798.08554,"Internal load"
"log10(Pext_k28 * 0.5)",79042597159.9554,102050088419.088,10578113692.3072,17151121552.4884,73958133213.9866,96699681.5983221,"External load"
"Residuals            ",35597499946.1236,93341616960.6631,123576339109.929,54514474414.0546,38542801454.8177,75593322916.1491,"Residual"
