"","Yr","daynum","epi_totP_mgL"
"1",2013,196,0.03
"2",2013,197,0.03
"3",2013,198,0.03
"4",2013,199,0.03
"5",2013,200,0.03
"6",2013,201,0.03
"7",2013,202,0.03
"8",2013,203,0.03
"9",2013,204,0.03
"10",2013,205,0.03
"11",2013,206,0.03
"12",2013,207,0.03
"13",2013,208,0.03
"14",2013,209,0.03
"15",2013,210,0.03
"16",2013,211,0.03
"17",2013,212,0.03
"18",2013,213,0.03
"19",2013,214,0.03
"20",2013,215,0.03
"21",2013,216,0.03
"22",2013,217,0.03
"23",2013,218,0.029375
"24",2013,219,0.02875
"25",2013,220,0.028125
"26",2013,221,0.0275
"27",2013,222,0.026875
"28",2013,223,0.02625
"29",2013,224,0.025625
"30",2013,225,0.025
"31",2013,226,0.024375
"32",2013,227,0.02375
"33",2013,228,0.023125
"34",2013,229,0.0225
"35",2013,230,0.021875
"36",2013,231,0.02125
"37",2013,232,0.020625
"38",2013,233,0.02
"39",2013,234,0.02
"40",2013,235,0.02
"41",2013,236,0.02
"42",2013,237,0.02
"43",2013,238,0.02
"44",2013,239,0.02
"45",2013,240,0.02
"46",2013,241,0.02
"47",2013,242,0.02
"48",2013,243,0.02
"49",2013,244,0.02
"50",2013,245,0.02
"51",2013,246,0.02
"52",2013,247,0.02
"53",2013,248,0.0203846153846154
"54",2013,249,0.0207692307692308
"55",2013,250,0.0211538461538462
"56",2013,251,0.0215384615384615
"57",2013,252,0.0219230769230769
"58",2014,196,0.0342857142857143
"59",2014,197,0.0335714285714286
"60",2014,198,0.0328571428571429
"61",2014,199,0.0321428571428571
"62",2014,200,0.0314285714285714
"63",2014,201,0.0307142857142857
"64",2014,202,0.03
"65",2014,203,0.03
"66",2014,204,0.03
"67",2014,205,0.03
"68",2014,206,0.03
"69",2014,207,0.03
"70",2014,208,0.03
"71",2014,209,0.03
"72",2014,210,0.03
"73",2014,211,0.03
"74",2014,212,0.03
"75",2014,213,0.03
"76",2014,214,0.03
"77",2014,215,0.03
"78",2014,216,0.03
"79",2014,217,0.03
"80",2014,218,0.03
"81",2014,219,0.03
"82",2014,220,0.03
"83",2014,221,0.03
"84",2014,222,0.03
"85",2014,223,0.03
"86",2014,224,0.03
"87",2014,225,0.03
"88",2014,226,0.03
"89",2014,227,0.03
"90",2014,228,0.03
"91",2014,229,0.03
"92",2014,230,0.03
"93",2014,231,0.03
"94",2014,232,0.03
"95",2014,233,0.0292307692307692
"96",2014,234,0.0284615384615385
"97",2014,235,0.0276923076923077
"98",2014,236,0.0269230769230769
"99",2014,237,0.0261538461538462
"100",2014,238,0.0253846153846154
"101",2014,239,0.0246153846153846
"102",2014,240,0.0238461538461538
"103",2014,241,0.0230769230769231
"104",2014,242,0.0223076923076923
"105",2014,243,0.0215384615384615
