"","Yr","daynum","Scenario","CD_cellsmL"
"1",2013,196,"Baseline",216540.13495
"2",2013,203,"Baseline",188672.6848
"3",2013,210,"Baseline",280710.5931
"4",2013,217,"Baseline",372748.5014
"5",2013,224,"Baseline",386432.68335
"6",2013,231,"Baseline",400116.8653
"7",2013,238,"Baseline",512796.59265
"8",2013,245,"Baseline",625476.32
"9",2013,252,"Baseline",358655.773405556
"10",2014,196,"Baseline",333061.59835
"11",2014,203,"Baseline",520921.7313
"12",2014,210,"Baseline",408334.58735
"13",2014,217,"Baseline",295747.4434
"14",2014,224,"Baseline",477898.22645
"15",2014,231,"Baseline",660049.0095
"16",2014,238,"Baseline",790107.23885
"17",2014,245,"Baseline",920165.4682
"18",2015,196,"Baseline",286672.98605
"19",2015,203,"Baseline",322463.0041
"20",2015,210,"Baseline",559091.6687
"21",2015,217,"Baseline",795720.3333
"22",2015,224,"Baseline",691013.33325
"23",2015,231,"Baseline",586306.3332
"24",2015,238,"Baseline",577936.9119
"25",2015,245,"Baseline",569567.4906
"26",2015,252,"Baseline",515517.225455556
"27",2016,196,"Baseline",528831.668
"28",2016,203,"Baseline",569055.6097
"29",2016,210,"Baseline",493480.77925
"30",2016,217,"Baseline",417905.9488
"31",2016,224,"Baseline",628858.44365
"32",2016,231,"Baseline",839810.9385
"33",2016,238,"Baseline",674478.7209
"34",2016,245,"Baseline",509146.5033
"35",2016,252,"Baseline",572241.815377778
"36",2017,196,"Baseline",635122.0381
"37",2017,203,"Baseline",919421.3377
"38",2017,210,"Baseline",847146.17205
"39",2017,217,"Baseline",774871.0064
"40",2017,224,"Baseline",812362.8287
"41",2017,231,"Baseline",849854.651
"42",2017,238,"Baseline",887346.4733
"43",2017,245,"Baseline",651835.05615
"44",2017,252,"Baseline",416323.639
"45",2018,196,"Baseline",411589.1235
"46",2018,203,"Baseline",578030.6749
"47",2018,210,"Baseline",535860.19835
"48",2018,217,"Baseline",493689.7218
"49",2018,224,"Baseline",483922.9759
"50",2018,231,"Baseline",474156.23
"51",2018,238,"Baseline",373783.62505
"52",2018,245,"Baseline",273411.0201
"53",2018,252,"Baseline",149085.4483
"54",2013,196,"CF1",309228.170336153
"55",2013,203,"CF1",293843.740899194
"56",2013,210,"CF1",294830.807612715
"57",2013,217,"CF1",398242.218898029
"58",2013,224,"CF1",491722.247893913
"59",2013,231,"CF1",493463.486171129
"60",2013,238,"CF1",457903.877549074
"61",2013,245,"CF1",482240.868206414
"62",2013,252,"CF1",565152.71979083
"63",2014,196,"CF1",322700.249274488
"64",2014,203,"CF1",454937.275082886
"65",2014,210,"CF1",537011.180681667
"66",2014,217,"CF1",429518.873399263
"67",2014,224,"CF1",366783.351293323
"68",2014,231,"CF1",540365.870708763
"69",2014,238,"CF1",692228.879980823
"70",2014,245,"CF1",780768.4354955
"71",2015,196,"CF1",299450.057729336
"72",2015,203,"CF1",318083.929700425
"73",2015,210,"CF1",342420.805375279
"74",2015,217,"CF1",524009.731454508
"75",2015,224,"CF1",715974.124850617
"76",2015,231,"CF1",698233.722145451
"77",2015,238,"CF1",639270.830350086
"78",2015,245,"CF1",614060.790548111
"79",2015,252,"CF1",559345.117339777
"80",2016,196,"CF1",538656.591133969
"81",2016,203,"CF1",540332.918717688
"82",2016,210,"CF1",540035.957761884
"83",2016,217,"CF1",503562.557609494
"84",2016,224,"CF1",463933.233924882
"85",2016,231,"CF1",606226.075966919
"86",2016,238,"CF1",742609.071725115
"87",2016,245,"CF1",624964.597823684
"88",2016,252,"CF1",514203.416408618
"89",2017,196,"CF1",373802.192546781
"90",2017,203,"CF1",595759.458376281
"91",2017,210,"CF1",834673.493545746
"92",2017,217,"CF1",816206.633441441
"93",2017,224,"CF1",804264.749950074
"94",2017,231,"CF1",842952.355550861
"95",2017,238,"CF1",830156.658250345
"96",2017,245,"CF1",752172.029118979
"97",2017,252,"CF1",583565.297342117
"98",2018,196,"CF1",397352.968780249
"99",2018,203,"CF1",499108.859396613
"100",2018,210,"CF1",582858.124638261
"101",2018,217,"CF1",535662.812406359
"102",2018,224,"CF1",538279.595552462
"103",2018,231,"CF1",534620.435283126
"104",2018,238,"CF1",490632.183369692
"105",2018,245,"CF1",397625.638195854
"106",2018,252,"CF1",348338.117103645
"107",2013,196,"CF2",290454.49247363
"108",2013,203,"CF2",275070.063036671
"109",2013,210,"CF2",276057.129750192
"110",2013,217,"CF2",379468.541035505
"111",2013,224,"CF2",472948.57003139
"112",2013,231,"CF2",474689.808308606
"113",2013,238,"CF2",439130.19968655
"114",2013,245,"CF2",463467.190343891
"115",2013,252,"CF2",546379.041928306
"116",2014,196,"CF2",303926.571411965
"117",2014,203,"CF2",436163.597220363
"118",2014,210,"CF2",518237.502819143
"119",2014,217,"CF2",410745.195536739
"120",2014,224,"CF2",348009.673430799
"121",2014,231,"CF2",521592.19284624
"122",2014,238,"CF2",673455.2021183
"123",2014,245,"CF2",761994.757632977
"124",2015,196,"CF2",280676.379866812
"125",2015,203,"CF2",299310.251837901
"126",2015,210,"CF2",323647.127512755
"127",2015,217,"CF2",505236.053591985
"128",2015,224,"CF2",697200.446988093
"129",2015,231,"CF2",679460.044282928
"130",2015,238,"CF2",620497.152487563
"131",2015,245,"CF2",595287.112685588
"132",2015,252,"CF2",540571.439477254
"133",2016,196,"CF2",519882.913271445
"134",2016,203,"CF2",521559.240855165
"135",2016,210,"CF2",521262.27989936
"136",2016,217,"CF2",484788.879746971
"137",2016,224,"CF2",445159.556062358
"138",2016,231,"CF2",587452.398104396
"139",2016,238,"CF2",723835.393862592
"140",2016,245,"CF2",606190.919961161
"141",2016,252,"CF2",495429.738546095
"142",2017,196,"CF2",355028.514684257
"143",2017,203,"CF2",576985.780513758
"144",2017,210,"CF2",815899.815683223
"145",2017,217,"CF2",797432.955578917
"146",2017,224,"CF2",785491.07208755
"147",2017,231,"CF2",824178.677688337
"148",2017,238,"CF2",811382.980387821
"149",2017,245,"CF2",733398.351256455
"150",2017,252,"CF2",564791.619479594
"151",2018,196,"CF2",378579.290917726
"152",2018,203,"CF2",480335.18153409
"153",2018,210,"CF2",564084.446775737
"154",2018,217,"CF2",516889.134543836
"155",2018,224,"CF2",519505.917689939
"156",2018,231,"CF2",515846.757420603
"157",2018,238,"CF2",471858.505507169
"158",2018,245,"CF2",378851.96033333
"159",2018,252,"CF2",329564.439241121
"160",2013,196,"CF3",222407.289185613
"161",2013,203,"CF3",207022.859748654
"162",2013,210,"CF3",208009.926462175
"163",2013,217,"CF3",311421.337747488
"164",2013,224,"CF3",404901.366743373
"165",2013,231,"CF3",406642.605020589
"166",2013,238,"CF3",371082.996398533
"167",2013,245,"CF3",395419.987055874
"168",2013,252,"CF3",478331.838640289
"169",2014,196,"CF3",235879.368123948
"170",2014,203,"CF3",368116.393932346
"171",2014,210,"CF3",450190.299531126
"172",2014,217,"CF3",342697.992248722
"173",2014,224,"CF3",279962.470142782
"174",2014,231,"CF3",453544.989558223
"175",2014,238,"CF3",605407.998830283
"176",2014,245,"CF3",693947.55434496
"177",2015,196,"CF3",212629.176578795
"178",2015,203,"CF3",231263.048549884
"179",2015,210,"CF3",255599.924224738
"180",2015,217,"CF3",437188.850303968
"181",2015,224,"CF3",629153.243700076
"182",2015,231,"CF3",611412.84099491
"183",2015,238,"CF3",552449.949199546
"184",2015,245,"CF3",527239.909397571
"185",2015,252,"CF3",472524.236189237
"186",2016,196,"CF3",451835.709983428
"187",2016,203,"CF3",453512.037567148
"188",2016,210,"CF3",453215.076611343
"189",2016,217,"CF3",416741.676458954
"190",2016,224,"CF3",377112.352774341
"191",2016,231,"CF3",519405.194816379
"192",2016,238,"CF3",655788.190574575
"193",2016,245,"CF3",538143.716673144
"194",2016,252,"CF3",427382.535258078
"195",2017,196,"CF3",286981.31139624
"196",2017,203,"CF3",508938.577225741
"197",2017,210,"CF3",747852.612395206
"198",2017,217,"CF3",729385.7522909
"199",2017,224,"CF3",717443.868799533
"200",2017,231,"CF3",756131.47440032
"201",2017,238,"CF3",743335.777099804
"202",2017,245,"CF3",665351.147968438
"203",2017,252,"CF3",496744.416191577
"204",2018,196,"CF3",310532.087629709
"205",2018,203,"CF3",412287.978246073
"206",2018,210,"CF3",496037.24348772
"207",2018,217,"CF3",448841.931255819
"208",2018,224,"CF3",451458.714401922
"209",2018,231,"CF3",447799.554132586
"210",2018,238,"CF3",403811.302219152
"211",2018,245,"CF3",310804.757045313
"212",2018,252,"CF3",261517.235953104
