"","date","Depth_m","TotP_mgL","daynum"
"181",2013-07-22,24,NA,203
"182",2013-07-22,25,NA,203
"183",2013-08-05,0,0.03,217
"184",2013-08-05,1,0.03,217
"185",2013-08-05,2,0.03,217
"186",2013-08-05,3,0.03,217
"187",2013-08-05,4,0.03,217
"188",2013-08-05,5,0.03,217
"189",2013-08-05,6,0.03,217
"190",2013-08-05,7,0.03,217
"191",2013-08-05,8,0.03,217
"192",2013-08-05,9,0.045,217
"193",2013-08-05,10,0.06,217
"194",2013-08-05,11,0.135,217
"195",2013-08-05,12,0.21,217
"196",2013-08-05,13,0.235,217
"197",2013-08-05,14,0.26,217
"198",2013-08-05,15,0.285,217
"199",2013-08-05,16,0.31,217
"200",2013-08-05,17,0.325,217
"201",2013-08-05,18,0.34,217
"202",2013-08-05,19,0.35,217
"203",2013-08-05,20,0.36,217
"204",2013-08-05,21,0.38,217
"205",2013-08-05,22,0.4,217
"206",2013-08-05,23,NA,217
"207",2013-08-05,24,NA,217
"208",2013-08-05,25,NA,217
"209",2013-08-21,0,0.02,233
"210",2013-08-21,1,0.02,233
"211",2013-08-21,2,0.02,233
"212",2013-08-21,3,0.02,233
"213",2013-08-21,4,0.02,233
"214",2013-08-21,5,NA,233
"215",2013-08-21,6,NA,233
"216",2013-08-21,7,NA,233
"217",2013-08-21,8,NA,233
"218",2013-08-21,9,NA,233
"219",2013-08-21,10,NA,233
"220",2013-08-21,11,NA,233
"221",2013-08-21,12,NA,233
"222",2013-08-21,13,NA,233
"223",2013-08-21,14,NA,233
"224",2013-08-21,15,NA,233
"225",2013-08-21,16,NA,233
"226",2013-08-21,17,NA,233
"227",2013-08-21,18,NA,233
"228",2013-08-21,19,NA,233
"229",2013-08-21,20,NA,233
"230",2013-08-21,21,NA,233
"231",2013-08-21,22,NA,233
"232",2013-08-21,23,NA,233
"233",2013-08-21,24,NA,233
"234",2013-08-21,25,NA,233
"235",2013-09-04,0,0.02,247
"236",2013-09-04,1,0.02,247
"237",2013-09-04,2,0.02,247
"238",2013-09-04,3,0.02,247
"239",2013-09-04,4,0.02,247
"240",2013-09-04,5,0.02,247
"241",2013-09-04,6,0.02,247
"242",2013-09-04,7,0.02,247
"243",2013-09-04,8,0.02,247
"244",2013-09-04,9,0.025,247
"245",2013-09-04,10,0.03,247
"246",2013-09-04,11,0.1,247
"247",2013-09-04,12,0.17,247
"248",2013-09-04,13,0.215,247
"249",2013-09-04,14,0.26,247
"250",2013-09-04,15,0.285,247
"251",2013-09-04,16,0.31,247
"252",2013-09-04,17,0.355,247
"253",2013-09-04,18,0.4,247
"254",2013-09-04,19,0.42,247
"255",2013-09-04,20,0.44,247
"256",2013-09-04,21,NA,247
"257",2013-09-04,22,NA,247
"258",2013-09-04,23,NA,247
"259",2013-09-04,24,NA,247
"260",2013-09-04,25,NA,247
"261",2014-04-29,0,0.08,119
"262",2014-04-29,1,0.0825,119
"263",2014-04-29,2,0.085,119
"264",2014-04-29,3,0.0875,119
"265",2014-04-29,4,0.09,119
"266",2014-04-29,5,0.09,119
"267",2014-04-29,6,0.09,119
"268",2014-04-29,7,0.09,119
"269",2014-04-29,8,0.09,119
"270",2014-04-29,9,0.09,119
"271",2014-04-29,10,0.09,119
"272",2014-04-29,11,0.09,119
"273",2014-04-29,12,0.09,119
"274",2014-04-29,13,0.0875,119
"275",2014-04-29,14,0.085,119
"276",2014-04-29,15,0.0825,119
"277",2014-04-29,16,0.08,119
"278",2014-04-29,17,0.08,119
"279",2014-04-29,18,0.08,119
"280",2014-04-29,19,0.08,119
"281",2014-04-29,20,0.08,119
"282",2014-04-29,21,NA,119
"283",2014-04-29,22,NA,119
"284",2014-04-29,23,NA,119
"285",2014-04-29,24,NA,119
"286",2014-04-29,25,NA,119
"287",2014-05-14,0,0.07,134
"288",2014-05-14,1,0.0725,134
"289",2014-05-14,2,0.075,134
"290",2014-05-14,3,0.0775,134
"291",2014-05-14,4,0.08,134
"292",2014-05-14,5,0.080625,134
"293",2014-05-14,6,0.08125,134
"294",2014-05-14,7,0.081875,134
"295",2014-05-14,8,0.0825,134
"296",2014-05-14,9,0.083125,134
"297",2014-05-14,10,0.08375,134
"298",2014-05-14,11,0.084375,134
"299",2014-05-14,12,0.085,134
"300",2014-05-14,13,0.085625,134
"301",2014-05-14,14,0.08625,134
"302",2014-05-14,15,0.086875,134
"303",2014-05-14,16,0.0875,134
"304",2014-05-14,17,0.088125,134
"305",2014-05-14,18,0.08875,134
"306",2014-05-14,19,0.089375,134
"307",2014-05-14,20,0.09,134
"308",2014-05-14,21,NA,134
"309",2014-05-14,22,NA,134
"310",2014-05-14,23,NA,134
"311",2014-05-14,24,NA,134
"312",2014-05-14,25,NA,134
"313",2014-06-09,0,0.08,160
"314",2014-06-09,1,0.07,160
"315",2014-06-09,2,0.06,160
"316",2014-06-09,3,0.05,160
"317",2014-06-09,4,0.04,160
"318",2014-06-09,5,0.045,160
"319",2014-06-09,6,0.05,160
"320",2014-06-09,7,0.055,160
"321",2014-06-09,8,0.06,160
"322",2014-06-09,9,0.07,160
"323",2014-06-09,10,0.08,160
"324",2014-06-09,11,0.08,160
"325",2014-06-09,12,0.08,160
"326",2014-06-09,13,0.09,160
"327",2014-06-09,14,0.1,160
