"","Date","Flow","Flux","Std.Err","SEP","L95","U95"
"3972",2020-10-08,79.6,14.4900869320952,0.203088925573188,8.31022433662531,4.41872344324582,35.7559234280054
"3973",2020-10-09,64.7,10.945741364651,0.15220207307286,6.2774736822249,3.33790038179493,27.0097671036578
"3974",2020-10-10,105,20.4948238376497,0.312877606814129,11.7546612707712,6.24945350347163,50.5751535201575
"3975",2020-10-11,77.5,13.6427238284846,0.190520264617627,7.82423538325825,4.16033212833299,33.6649112883239
"3976",2020-10-12,78.4,13.7370697291769,0.192169938403029,7.87835177342493,4.18909781496156,33.8977431748838
"3977",2020-10-13,87.7,15.784832301339,0.226096605271379,9.0528951531387,4.81347957974934,38.9511959228796
"3978",2020-10-14,64.5,10.4601575897248,0.145650002543646,5.99899220332113,3.1898187755585,25.8115519423639
"3979",2020-10-15,109,20.6612957770598,0.320526675923389,11.8502771270236,6.30013118268361,50.9863475735859
"3980",2020-10-16,76.8,12.9441863187651,0.180659113036525,7.42361471519575,3.94731554919715,31.9411863184256
"3981",2020-10-17,70.8,11.5414708893895,0.160207952191724,6.61912278770487,3.51957205478292,28.4797731286944
"3982",2020-10-18,115,21.6467587229922,0.344087764854748,12.4157154960173,6.6004833835012,53.4188424543627
"3983",2020-10-19,81.4,13.6466820306375,0.192198486306512,7.82654513777951,4.16151475256351,33.6747916996719
"3984",2020-10-20,82.2,13.7172988499874,0.193557826004562,7.86705374529413,4.18304362157339,33.8490725564941
"3985",2020-10-21,85,14.225481612065,0.202170187472619,8.15853893068925,4.33799031859587,35.1031756500129
"3986",2020-10-22,111,20.0424136717911,0.313101018944073,11.4953766103726,6.11138265509694,49.4592864686067
"3987",2020-10-23,297,72.4004022694368,1.91047541583691,41.5539673476609,22.0589590810559,178.746049926873
"3988",2020-10-24,435,118.592733822694,3.74510912668292,68.0969870484186,36.1137351300989,292.876789324115
"3989",2020-10-25,286,67.9056100265103,1.75667020740703,38.9725940528541,20.6904707039515,167.644495368858
"3990",2020-10-26,146,27.895954279273,0.500613224015035,16.0016913668188,8.50493661759608,68.8451188137259
"3991",2020-10-27,98.5,16.5247333519264,0.245390381427215,9.47746334054179,5.03897137553927,40.7776315950287
"3992",2020-10-28,116,20.3397120719219,0.323725476967639,11.6660572650542,6.20193444893998,50.1934075645041
"3993",2020-10-29,114,19.7450543761125,0.311582879047327,11.3249110477549,6.02065843845344,48.7257276979389
"3994",2020-10-30,90,14.3803882503225,0.207223223952356,8.24745149439882,4.38518454240859,35.4856301807588
"3995",2020-10-31,69.5,10.1748107414343,0.141566201627827,5.83534059773035,3.10280407683971,25.1074205823079
"3996",2020-11-01,128,22.5343798776938,0.375932530350676,12.9253231872122,6.87082498981388,55.6107073316729
"3997",2020-11-02,87.3,13.5488161637415,0.193575981820192,7.77048598648753,4.13162889987642,33.4334904517659
"3998",2020-11-03,93.4,14.7118126155502,0.214167599238065,8.43758501887475,4.48621605284704,36.3036224940066
