Field Sample Number,Depth_ft,SampleDate,Value,Units,Variable
EFL,5,6/23/2015,29.32,ug/L,Chl-a
EFL,10,6/23/2015,34.66,ug/L,Chl-a
EFL,20,6/23/2015,2.58,ug/L,Chl-a
EFL,0,6/30/2015,14.57,ug/L,Chl-a
EFL,5,6/30/2015,12.54,ug/L,Chl-a
EFL,10,6/30/2015,2.42,ug/L,Chl-a
EFL,20,6/30/2015,4.63,ug/L,Chl-a
EFL,0,7/21/2015,40.19,ug/L,Chl-a
EFL,5,7/21/2015,28.48,ug/L,Chl-a
EFL,10,7/21/2015,11.71,ug/L,Chl-a
EFL,20,7/21/2015,0.79,ug/L,Chl-a
EFL,0,8/12/2015,17.72,ug/L,Chl-a
EFL,5,8/12/2015,19.99,ug/L,Chl-a
EFL,10,8/12/2015,12.45,ug/L,Chl-a
EFL,20,8/12/2015,8.17,ug/L,Chl-a
EFL,0,9/1/2015,16.64,ug/L,Chl-a
EFL,5,9/1/2015,12.29,ug/L,Chl-a
EFL,10,9/1/2015,7.16,ug/L,Chl-a
EFL,20,9/1/2015,4.18,ug/L,Chl-a
EFL,0,9/22/2015,12.75,ug/L,Chl-a
EFL,5,9/22/2015,10.02,ug/L,Chl-a
EFL,10,9/22/2015,2.93,ug/L,Chl-a
EFL,20,9/22/2015,0.66,ug/L,Chl-a
EFL,0,10/13/2015,0.48,ug/L,Chl-a
EFL,5,10/13/2015,5.53,ug/L,Chl-a
EFL,10,10/13/2015,5.3,ug/L,Chl-a
EFL,20,10/13/2015,0.57,ug/L,Chl-a
EFL,0,11/3/2015,3.05,ug/L,Chl-a
EFL,5,11/3/2015,4.35,ug/L,Chl-a
EFL,10,11/3/2015,2.1,ug/L,Chl-a
EFL,20,11/3/2015,1.63,ug/L,Chl-a
EFL,0,11/24/2015,3.63,ug/L,Chl-a
EFL,5,11/24/2015,4.63,ug/L,Chl-a
EFL,10,11/24/2015,1.55,ug/L,Chl-a
EFL,20,11/24/2015,2.67,ug/L,Chl-a
EFL,0,12/8/2015,0.47,ug/L,Chl-a
EFL,5,12/8/2015,0.28,ug/L,Chl-a
EFL,10,12/8/2015,0.28,ug/L,Chl-a
EFL,20,12/8/2015,0.17,ug/L,Chl-a
EFL,0,8/4/2016,15.062,ug/L,Chl-a
EFL,5,8/4/2016,21.36,ug/L,Chl-a
EFL,10,8/4/2016,25.646,ug/L,Chl-a
EFL,20,8/4/2016,10.383,ug/L,Chl-a
EFL,0,8/30/2016,19.169,ug/L,Chl-a
EFL,5,8/30/2016,23.295,ug/L,Chl-a
EFL,10,8/30/2016,24.988,ug/L,Chl-a
EFL,20,8/30/2016,4.401,ug/L,Chl-a
EFL,0,6/6/2017,38.534,ug/L,Chl-a
EFL,0,6/6/2017,29.626,ug/L,Chl-a
EFL,0,6/6/2017,31.561,ug/L,Chl-a
EFL,0,6/6/2017,48.24,ug/L,Chl-a
EFL,0,6/20/2017,73.472,ug/L,Chl-a
EFL,0,6/20/2017,70.971,ug/L,Chl-a
EFL,0,6/20/2017,30.501,ug/L,Chl-a
EFL,0,6/20/2017,74.401,ug/L,Chl-a
EFL,0,8/3/2017,89.638,ug/L,Chl-a
EFL,5,8/3/2017,86.757,ug/L,Chl-a
EFL,10,8/3/2017,76.197,ug/L,Chl-a
EFL,20,8/3/2017,9.443,ug/L,Chl-a
EFL,0,9/12/2017,20.473,ug/L,Chl-a
EFL,5,9/12/2017,21.566,ug/L,Chl-a
EFL,10,9/12/2017,20.905,ug/L,Chl-a
EFL,20,9/12/2017,20.695,ug/L,Chl-a
EFL,0,10/3/2017,34.919,ug/L,Chl-a
EFL,5,10/3/2017,35.557,ug/L,Chl-a
EFL,10,10/3/2017,24.337,ug/L,Chl-a
EFL,20,10/3/2017,19.569,ug/L,Chl-a
EFL,0,10/24/2017,7.556,ug/L,Chl-a
EFL,5,10/24/2017,8.18,ug/L,Chl-a
EFL,10,10/24/2017,8.228,ug/L,Chl-a
EFL,20,10/24/2017,6.462,ug/L,Chl-a
EFL,0,11/14/2017,2.596,ug/L,Chl-a
EFL,5,11/14/2017,2.563,ug/L,Chl-a
EFL,10,11/14/2017,2.845,ug/L,Chl-a
EFL,20,11/14/2017,2.319,ug/L,Chl-a
EFL,0,3/27/2018,1.933,ug/L,Chl-a
EFL,5,3/27/2018,1.517,ug/L,Chl-a
EFL,10,3/27/2018,1.503,ug/L,Chl-a
EFL,20,3/27/2018,1.667,ug/L,Chl-a
EFL,0,4/24/2018,19.686,ug/L,Chl-a
EFL,5,4/24/2018,19.262,ug/L,Chl-a
EFL,10,4/24/2018,16.685,ug/L,Chl-a
EFL,20,4/24/2018,3.127,ug/L,Chl-a
EFL,0,5/16/2018,15.444,ug/L,Chl-a
EFL,5,5/16/2018,17.064,ug/L,Chl-a
EFL,10,5/16/2018,13.523,ug/L,Chl-a
EFL,20,5/16/2018,2.72,ug/L,Chl-a
EFL,0,5/29/2018,26.413,ug/L,Chl-a
EFL,5,5/29/2018,24.767,ug/L,Chl-a
EFL,10,5/29/2018,16.483,ug/L,Chl-a
EFL,20,5/29/2018,1.624,ug/L,Chl-a
EFL,0,6/14/2018,56.427,ug/L,Chl-a
EFL,5,6/14/2018,64.761,ug/L,Chl-a
EFL,10,6/14/2018,49.065,ug/L,Chl-a
EFL,20,6/14/2018,9.481,ug/L,Chl-a
EFL,0,6/20/2018,70.34,ug/L,Chl-a
EFL,5,6/20/2018,60.769,ug/L,Chl-a
EFL,10,6/20/2018,43.05,ug/L,Chl-a
EFL,20,6/20/2018,3.558,ug/L,Chl-a
EFL,0,7/12/2018,82.631,ug/L,Chl-a
EFL,5,7/12/2018,51.558,ug/L,Chl-a
EFL,10,7/12/2018,22.734,ug/L,Chl-a
EFL,20,7/12/2018,7.138,ug/L,Chl-a
EFL,0,8/2/2018,45.419,ug/L,Chl-a
EFL,5,8/2/2018,39.114,ug/L,Chl-a
EFL,10,8/2/2018,32.04,ug/L,Chl-a
EFL,20,8/2/2018,15.656,ug/L,Chl-a
EFL,0,9/6/2018,25.774,ug/L,Chl-a
EFL,5,9/6/2018,22.246,ug/L,Chl-a
EFL,10,9/6/2018,18.421,ug/L,Chl-a
EFL,20,9/6/2018,8.359,ug/L,Chl-a
EFL,0,9/25/2018,19.561,ug/L,Chl-a
EFL,5,9/25/2018,19.92,ug/L,Chl-a
EFL,10,9/25/2018,20.503,ug/L,Chl-a
EFL,20,9/25/2018,18.884,ug/L,Chl-a
EFL,0,10/16/2018,4.249,ug/L,Chl-a
EFL,5,10/16/2018,3.973,ug/L,Chl-a
EFL,10,10/16/2018,4.637,ug/L,Chl-a
EFL,20,10/16/2018,5.237,ug/L,Chl-a
EFL,0,11/6/2018,2.198,ug/L,Chl-a
EFL,5,11/6/2018,1.821,ug/L,Chl-a
EFL,10,11/6/2018,2.021,ug/L,Chl-a
EFL,20,11/6/2018,2.034,ug/L,Chl-a
EFL,0,11/28/2018,1.42,ug/L,Chl-a
EFL,5,11/28/2018,0.998,ug/L,Chl-a
EFL,10,11/28/2018,1.552,ug/L,Chl-a
EFL,20,11/28/2018,1.173,ug/L,Chl-a
EFL,0,12/18/2018,1.203,ug/L,Chl-a
EFL,5,12/18/2018,0.809,ug/L,Chl-a
EFL,10,12/18/2018,0.814,ug/L,Chl-a
EFL,20,12/18/2018,0.449,ug/L,Chl-a
EFL,0,5/21/2019,8.996,ug/L,Chl-a
EFL,5,5/21/2019,10.606,ug/L,Chl-a
EFL,10,5/21/2019,8.944,ug/L,Chl-a
EFL,0,6/6/2019,38.63,ug/L,Chl-a
EFL,5,6/6/2019,28.252,ug/L,Chl-a
EFL,10,6/6/2019,25.132,ug/L,Chl-a
EFL,0,7/18/2019,60.235,ug/L,Chl-a
EFL,5,7/18/2019,51.264,ug/L,Chl-a
EFL,10,7/18/2019,41.011,ug/L,Chl-a
EFL,0,7/30/2019,31.054,ug/L,Chl-a
EFL,5,7/30/2019,32.955,ug/L,Chl-a
EFL,10,7/30/2019,35.983,ug/L,Chl-a
EFL,0,8/13/2019,20.292,ug/L,Chl-a
EFL,5,8/13/2019,21.36,ug/L,Chl-a
EFL,10,8/13/2019,24.564,ug/L,Chl-a
EFL,0,9/5/2019,23.229,ug/L,Chl-a
EFL,5,9/5/2019,24.03,ug/L,Chl-a
EFL,10,9/5/2019,19.434,ug/L,Chl-a
EFL,0,9/24/2019,22.428,ug/L,Chl-a
EFL,5,9/24/2019,18.766,ug/L,Chl-a
EFL,10,9/24/2019,17.393,ug/L,Chl-a
EFL,0,10/17/2019,7.369,ug/L,Chl-a
EFL,5,10/17/2019,6.088,ug/L,Chl-a
EFL,10,10/17/2019,7.049,ug/L,Chl-a
EFL,0,11/5/2019,4.344,ug/L,Chl-a
EFL,5,11/5/2019,3.56,ug/L,Chl-a
EFL,10,11/5/2019,4.061,ug/L,Chl-a
EFL,0,9/22/2020,12.847,ug/L,Chl-a
EFL,0,9/2/2021,42.339,ug/L,Chl-a
EFL,0,9/2/2021,21.741,ug/L,Chl-a
EFL,0,9/21/2021,24.17833333,ug/L,Chl-a
EFL,0,5/26/2015,4.92,RFU,CHL_InsituProbeR
EFL,5,5/26/2015,3.52,RFU,CHL_InsituProbeR
EFL,10,5/26/2015,2.33,RFU,CHL_InsituProbeR
EFL,15,5/26/2015,1.57,RFU,CHL_InsituProbeR
EFL,20,5/26/2015,1.53,RFU,CHL_InsituProbeR
EFL,25,5/26/2015,1.21,RFU,CHL_InsituProbeR
EFL,30,5/26/2015,1.02,RFU,CHL_InsituProbeR
EFL,35,5/26/2015,0.82,RFU,CHL_InsituProbeR
EFL,40,5/26/2015,0.82,RFU,CHL_InsituProbeR
EFL,45,5/26/2015,0.81,RFU,CHL_InsituProbeR
EFL,49,5/26/2015,0.8,RFU,CHL_InsituProbeR
EFL,0,6/9/2015,2.76,RFU,CHL_InsituProbeR
EFL,5,6/9/2015,2.96,RFU,CHL_InsituProbeR
EFL,10,6/9/2015,1.37,RFU,CHL_InsituProbeR
EFL,15,6/9/2015,0.75,RFU,CHL_InsituProbeR
EFL,20,6/9/2015,0.78,RFU,CHL_InsituProbeR
EFL,25,6/9/2015,0.88,RFU,CHL_InsituProbeR
EFL,30,6/9/2015,0.87,RFU,CHL_InsituProbeR
EFL,35,6/9/2015,0.92,RFU,CHL_InsituProbeR
EFL,40,6/9/2015,0.9,RFU,CHL_InsituProbeR
EFL,45,6/9/2015,0.89,RFU,CHL_InsituProbeR
EFL,49,6/9/2015,0.86,RFU,CHL_InsituProbeR
EFL,0,6/23/2015,4.94,RFU,CHL_InsituProbeR
EFL,5,6/23/2015,3.62,RFU,CHL_InsituProbeR
EFL,10,6/23/2015,1.69,RFU,CHL_InsituProbeR
EFL,15,6/23/2015,1.29,RFU,CHL_InsituProbeR
EFL,20,6/23/2015,1.14,RFU,CHL_InsituProbeR
EFL,25,6/23/2015,1.14,RFU,CHL_InsituProbeR
EFL,30,6/23/2015,1.03,RFU,CHL_InsituProbeR
EFL,35,6/23/2015,1.04,RFU,CHL_InsituProbeR
EFL,40,6/23/2015,1.07,RFU,CHL_InsituProbeR
EFL,45,6/23/2015,1.09,RFU,CHL_InsituProbeR
EFL,50,6/23/2015,1.07,RFU,CHL_InsituProbeR
EFL,52,6/23/2015,1.06,RFU,CHL_InsituProbeR
EFL,0,6/30/2015,5.05,RFU,CHL_InsituProbeR
