"","Yr","daynum_bin","Strat_TotP_kgday","Unstr_TotP_kgday","Int_TotP_kgday","epi_TotP_mgL","hypo_TotP_mgL","TotP_HEratio","Patm_kgday","Pstreams_kgday","Pother_kgday","Pext_kgday","Pext_kgday_noother","X","sampledate","cyano_relbiovol","CD_cellsmL","daynum","CD_cellsmL2","YrDay","usedate","week_bin"
"1",2013,196,0,33.552,33.552,0.03,0.315,10.5,6.698,45.2170548481068,24.4000757786102,76.315130626717,51.9150548481068,1,"2013-07-08",88.955,244407.5851,189,244407.5851,"2013/196",2013-07-15,196
"2",2013,203,230.814405481775,33.552,264.366405481775,0.03,0.33125,11.0416666666667,11.1814023789627,70.882639838889,38.5700998423903,120.634142060242,82.0640422178517,8,NA,NA,NA,NA,216540.13495,"2013/203",2013-07-22,203
"3",2013,210,461.628810963549,33.552,495.180810963549,0.03,0.3475,11.5833333333333,6.698,40.4770454765513,22.1722713739791,69.3473168505304,47.1750454765513,15,"2013-07-22",83.705,188672.6848,203,188672.6848,"2013/210",2013-07-29,210
"4",2013,217,128.18963000167,33.552,161.74163000167,0.03,0.36375,12.125,8.61945816241259,28.708006896722,17.5439085777933,54.8713736369278,37.3274650591346,22,NA,NA,NA,NA,280710.5931,"2013/217",2013-08-05,217
"5",2013,224,-205.249550960209,33.552,-171.697550960209,0.03,0.38,12.6666666666667,8.61945816241259,22.9717721706588,14.8478782565436,46.4391085896149,31.5912303330714,29,"2013-08-05",95.815,372748.5014,217,372748.5014,"2013/224",2013-08-12,224
"6",2013,231,-98.8746790453662,33.552,-65.3226790453662,0.0275,0.395,15,6.698,20.7503580855136,12.9007283001914,40.349086385705,27.4483580855136,36,NA,NA,NA,NA,386432.68335,"2013/231",2013-08-19,231
"7",2013,238,7.50019286947686,33.552,41.0521928694769,0.025,0.41,17.3333333333333,6.698,22.7043547497496,13.8191067323823,43.2214614821319,29.4023547497496,43,"2013-08-21",87.325,400116.8653,233,400116.8653,"2013/238",2013-08-26,238
"8",2013,245,-12.4522581931768,33.552,21.0997418068232,0.0225,0.425,19.6666666666667,6.698,19.386133317056,12.2595426590163,38.3436759760723,26.084133317056,50,NA,NA,NA,NA,512796.59265,"2013/245",2013-09-02,245
"9",2013,252,-32.4047092558305,33.552,1.1472907441695,0.02,0.44,22,6.698,13.5096623125708,9.49760128690828,29.7052635994791,20.2076623125708,57,"2013-09-04",87.27,625476.32,247,625476.32,"2013/252",2013-09-09,245
"10",2014,196,0,33.552,33.552,0.0206666666666667,0.436333333333333,21.3888888888889,12.142131460169,34.9111248425131,22.1150304622606,69.1682867649427,47.0532563026821,58,"2014-07-21",79.741,520921.7313,202,520921.7313,"2014/196",2014-07-15,196
