Site_ID,sampledate,Qout_cfs,TotP_lbday,TotP_mgL
USGS_5427948,7/13/2013,2.54,4.29,0.313
USGS_5427948,7/14/2013,2.37,3.93,0.307
USGS_5427948,7/15/2013,2.3,3.73,0.301
USGS_5427948,7/16/2013,2.25,3.59,0.296
USGS_5427948,7/17/2013,2.17,3.45,0.294
USGS_5427948,7/18/2013,2.1,3.32,0.293
USGS_5427948,7/19/2013,1.95,3.07,0.292
USGS_5427948,7/20/2013,1.87,2.94,0.291
USGS_5427948,7/21/2013,7.24,15.5,0.33
USGS_5427948,7/22/2013,13.7,27,0.357
USGS_5427948,7/23/2013,14.2,28.5,0.36
USGS_5427948,7/24/2013,8.9,13.7,0.284
USGS_5427948,7/25/2013,6.49,9.22,0.263
USGS_5427948,7/26/2013,5.75,7.54,0.243
USGS_5427948,7/27/2013,4.15,5.04,0.224
USGS_5427948,7/28/2013,3.38,3.79,0.207
USGS_5427948,7/29/2013,2.62,2.71,0.192
USGS_5427948,7/30/2013,2.39,2.31,0.179
USGS_5427948,7/31/2013,2.34,2.21,0.175
USGS_5427948,8/1/2013,2.18,2.04,0.174
USGS_5427948,8/2/2013,2.63,2.44,0.172
USGS_5427948,8/3/2013,2.31,2.12,0.17
USGS_5427948,8/4/2013,2.02,1.84,0.168
USGS_5427948,8/5/2013,2.05,1.85,0.167
USGS_5427948,8/6/2013,2.07,1.84,0.165
USGS_5427948,8/7/2013,2,1.77,0.164
USGS_5427948,8/8/2013,1.85,1.62,0.162
USGS_5427948,8/9/2013,1.77,1.53,0.16
USGS_5427948,8/10/2013,1.69,1.45,0.159
USGS_5427948,8/11/2013,1.88,1.6,0.157
USGS_5427948,8/12/2013,2.07,1.74,0.156
USGS_5427948,8/13/2013,1.88,1.57,0.154
USGS_5427948,8/14/2013,1.76,1.46,0.153
USGS_5427948,8/15/2013,1.71,1.4,0.153
USGS_5427948,8/16/2013,1.61,1.32,0.152
USGS_5427948,8/17/2013,1.55,1.27,0.152
USGS_5427948,8/18/2013,1.52,1.24,0.151
USGS_5427948,8/19/2013,1.54,1.25,0.151
USGS_5427948,8/20/2013,1.51,1.23,0.151
USGS_5427948,8/21/2013,1.51,1.23,0.15
USGS_5427948,8/22/2013,23.2,36.7,0.233
USGS_5427948,8/23/2013,13,14.8,0.217
USGS_5427948,8/24/2013,4.47,5.54,0.229
USGS_5427948,8/25/2013,2.8,3.46,0.229
USGS_5427948,8/26/2013,1.95,2.4,0.228
USGS_5427948,8/27/2013,1.71,2.1,0.227
USGS_5427948,8/28/2013,1.53,1.87,0.226
USGS_5427948,8/29/2013,1.39,1.7,0.226
USGS_5427948,8/30/2013,1.35,1.63,0.225
USGS_5427948,8/31/2013,1.09,1.32,0.224
USGS_5427948,9/1/2013,0.99,1.2,0.223
USGS_5427948,9/2/2013,1.18,1.41,0.223
USGS_5427948,9/3/2013,1.26,1.51,0.222
USGS_5427948,9/4/2013,1.22,1.46,0.221
USGS_5427948,9/5/2013,1.16,1.38,0.22
USGS_5427948,9/6/2013,1.12,1.33,0.22
USGS_5427948,9/7/2013,1.15,1.36,0.219
USGS_5427948,9/8/2013,1.09,1.29,0.218
USGS_5427948,9/9/2013,1.18,1.38,0.217
USGS_5427948,9/10/2013,1.23,1.43,0.217
USGS_5427948,9/11/2013,1.44,1.67,0.216
USGS_5427948,9/12/2013,1.16,1.34,0.214
USGS_5427948,9/13/2013,0.96,1.1,0.213
USGS_5427948,9/14/2013,0.98,1.12,0.211
USGS_5427948,9/15/2013,7.25,9.77,0.241
USGS_5427948,9/16/2013,4.69,6.8,0.27
USGS_5427948,9/17/2013,2.28,3.58,0.292
USGS_5427948,9/18/2013,1.81,3.02,0.309
USGS_5427948,9/19/2013,22.9,30.9,0.264
USGS_5427948,9/20/2013,27.2,27.9,0.183
USGS_5427948,9/21/2013,8.9,7.18,0.149
USGS_5427948,9/22/2013,5.72,4.49,0.145
USGS_5427948,9/23/2013,4.54,3.49,0.142
USGS_5427948,9/24/2013,4.02,3.02,0.139
USGS_5427948,9/25/2013,2.88,2.11,0.136
USGS_5427948,9/26/2013,2,1.44,0.133
USGS_5427948,9/27/2013,1.59,1.12,0.13
USGS_5427948,9/28/2013,1.64,1.12,0.127
USGS_5427948,9/29/2013,2.38,1.59,0.124
USGS_5427948,9/30/2013,2.14,1.4,0.121
USGS_5427948,10/1/2013,1.83,1.17,0.118
USGS_5427948,10/2/2013,1.58,0.98,0.115
USGS_5427948,10/3/2013,1.4,0.85,0.112
USGS_5427948,10/4/2013,11.8,7.81,0.118
USGS_5427948,10/5/2013,8.08,5.18,0.119
USGS_5427948,10/6/2013,6.7,4.08,0.112
USGS_5427948,10/7/2013,3.86,2.2,0.106
USGS_5427948,10/8/2013,2.62,1.46,0.103
USGS_5427948,10/9/2013,2.02,1.09,0.1
USGS_5427948,10/10/2013,1.79,0.94,0.0976
USGS_5427948,10/11/2013,1.65,0.85,0.095
USGS_5427948,10/12/2013,1.65,0.83,0.0925
USGS_5427948,10/13/2013,1.54,0.75,0.0901
USGS_5427948,10/14/2013,1.49,0.7,0.0877
USGS_5427948,10/15/2013,2.59,1.19,0.0854
USGS_5427948,10/16/2013,2.4,1.08,0.0832
USGS_5427948,10/17/2013,2.14,0.93,0.081
USGS_5427948,10/18/2013,1.9,0.81,0.0791
USGS_5427948,10/19/2013,1.73,0.73,0.0782
USGS_5427948,10/20/2013,1.77,0.74,0.0775
USGS_5427948,10/21/2013,2.04,0.84,0.0767
USGS_5427948,10/22/2013,1.72,0.71,0.076
USGS_5427948,10/23/2013,1.67,0.68,0.0753
USGS_5427948,10/24/2013,1.63,0.66,0.0746
USGS_5427948,10/25/2013,1.57,0.62,0.0739
USGS_5427948,10/26/2013,1.58,0.63,0.0732
USGS_5427948,10/27/2013,2.08,0.82,0.0725
USGS_5427948,10/28/2013,1.55,0.6,0.0718
USGS_5427948,10/29/2013,1.59,0.61,0.0712
USGS_5427948,10/30/2013,1.63,0.62,0.0705
USGS_5427948,10/31/2013,4.77,2.06,0.0766
USGS_5427948,11/1/2013,5.36,2.37,0.082
USGS_5427948,11/2/2013,3.6,1.57,0.0807
USGS_5427948,11/3/2013,3.2,1.35,0.0782
USGS_5427948,11/4/2013,2.78,1.12,0.0744
USGS_5427948,11/5/2013,3.3,1.3,0.072
USGS_5427948,11/6/2013,12.2,5.77,0.0869
USGS_5427948,11/7/2013,8.05,3.57,0.0818
USGS_5427948,11/8/2013,5.72,2.26,0.0729
USGS_5427948,11/9/2013,4.5,1.68,0.0691
USGS_5427948,11/10/2013,3.19,1.17,0.0677
USGS_5427948,11/11/2013,2.62,0.94,0.0664
USGS_5427948,11/12/2013,2.16,0.76,0.0651
USGS_5427948,11/13/2013,1.9,0.65,0.0639
USGS_5427948,11/14/2013,1.84,0.62,0.0626
USGS_5427948,11/15/2013,1.86,0.62,0.0614
USGS_5427948,11/16/2013,2.26,0.81,0.0645
USGS_5427948,11/17/2013,15.2,10.5,0.125
USGS_5427948,11/18/2013,15.2,9.34,0.114
USGS_5427948,11/19/2013,8.56,4.57,0.0982
USGS_5427948,11/20/2013,6.42,2.89,0.0831
USGS_5427948,11/21/2013,5.22,2.25,0.0798
USGS_5427948,11/22/2013,4.26,1.83,0.0796
USGS_5427948,11/23/2013,2.82,1.21,0.0794
USGS_5427948,11/24/2013,2.04,0.87,0.0791
USGS_5427948,11/25/2013,1.91,0.82,0.0789
USGS_5427948,11/26/2013,1.89,0.8,0.0787
USGS_5427948,11/27/2013,1.69,0.72,0.0785
USGS_5427948,11/28/2013,1.63,0.69,0.0783
USGS_5427948,11/29/2013,1.56,0.66,0.078
USGS_5427948,11/30/2013,1.61,0.68,0.0778
USGS_5427948,12/1/2013,1.66,0.7,0.0776
USGS_5427948,12/2/2013,1.72,0.72,0.0774
USGS_5427948,12/3/2013,2.31,0.96,0.0772
USGS_5427948,12/4/2013,2.68,1.11,0.077
USGS_5427948,12/5/2013,2.4,1,0.0768
USGS_5427948,12/6/2013,1.85,0.76,0.0766
USGS_5427948,12/7/2013,1.57,0.65,0.0763
USGS_5427948,12/8/2013,1.44,0.59,0.0761
USGS_5427948,12/9/2013,1.53,0.63,0.0759
USGS_5427948,12/10/2013,1.49,0.61,0.0757
USGS_5427948,12/11/2013,1.48,0.61,0.0755
USGS_5427948,12/12/2013,1.39,0.57,0.0753
USGS_5427948,12/13/2013,1.34,0.54,0.0751
USGS_5427948,12/14/2013,1.41,0.57,0.0749
USGS_5427948,12/15/2013,1.41,0.57,0.0747
USGS_5427948,12/16/2013,1.4,0.56,0.0745
USGS_5427948,12/17/2013,1.42,0.57,0.0742
USGS_5427948,12/18/2013,1.43,0.57,0.074
USGS_5427948,12/19/2013,1.43,0.57,0.0738
USGS_5427948,12/20/2013,1.47,0.58,0.0736
USGS_5427948,12/21/2013,1.41,0.56,0.0734
USGS_5427948,12/22/2013,1.57,0.62,0.0732
USGS_5427948,12/23/2013,1.47,0.58,0.073
USGS_5427948,12/24/2013,1.37,0.54,0.0728
USGS_5427948,12/25/2013,1.41,0.55,0.0726
USGS_5427948,12/26/2013,1.46,0.57,0.0724
USGS_5427948,12/27/2013,1.48,0.58,0.0722
USGS_5427948,12/28/2013,1.49,0.58,0.072
USGS_5427948,12/29/2013,1.62,0.63,0.0718
USGS_5427948,12/30/2013,1.49,0.58,0.0716
USGS_5427948,12/31/2013,1.42,0.55,0.0714
USGS_5427948,1/1/2014,1.41,0.54,0.0712
USGS_5427948,1/2/2014,1.43,0.55,0.071
USGS_5427948,1/3/2014,1.37,0.52,0.0708
USGS_5427948,1/4/2014,1.29,0.49,0.0706
USGS_5427948,1/5/2014,1.35,0.51,0.0704
USGS_5427948,1/6/2014,1.28,0.49,0.0702
USGS_5427948,1/7/2014,1.14,0.43,0.07
USGS_5427948,1/8/2014,1.11,0.42,0.0699
USGS_5427948,1/9/2014,1.09,0.41,0.0697
USGS_5427948,1/10/2014,1.15,0.43,0.0695
USGS_5427948,1/11/2014,1.48,0.55,0.0693
USGS_5427948,1/12/2014,1.65,0.61,0.0691
USGS_5427948,1/13/2014,1.96,0.73,0.0689
USGS_5427948,1/14/2014,2.04,0.76,0.0687
USGS_5427948,1/15/2014,1.63,0.6,0.0685
USGS_5427948,1/16/2014,1.59,0.59,0.0683
USGS_5427948,1/17/2014,1.52,0.56,0.0681
USGS_5427948,1/18/2014,1.41,0.52,0.068
USGS_5427948,1/19/2014,1.41,0.52,0.0678
USGS_5427948,1/20/2014,1.48,0.54,0.0676
USGS_5427948,1/21/2014,1.41,0.51,0.0674
USGS_5427948,1/22/2014,1.34,0.49,0.0672
USGS_5427948,1/23/2014,1.21,0.44,0.067
USGS_5427948,1/24/2014,1.17,0.42,0.0668
USGS_5427948,1/25/2014,1.23,0.44,0.0666
USGS_5427948,1/26/2014,1.27,0.45,0.0665
USGS_5427948,1/27/2014,1.34,0.48,0.0663
USGS_5427948,1/28/2014,1.32,0.47,0.0661
USGS_5427948,1/29/2014,1.28,0.46,0.0659
USGS_5427948,1/30/2014,1.32,0.47,0.0657
USGS_5427948,1/31/2014,1.33,0.47,0.0655
USGS_5427948,2/1/2014,1.34,0.47,0.0654
USGS_5427948,2/2/2014,1.35,0.48,0.0652
USGS_5427948,2/3/2014,1.34,0.47,0.065
USGS_5427948,2/4/2014,1.29,0.45,0.0648
USGS_5427948,2/5/2014,1.34,0.47,0.0646
USGS_5427948,2/6/2014,1.34,0.47,0.0645
USGS_5427948,2/7/2014,1.27,0.44,0.0643
USGS_5427948,2/8/2014,1.25,0.43,0.0641
USGS_5427948,2/9/2014,1.25,0.43,0.0639
USGS_5427948,2/10/2014,1.27,0.44,0.0638
USGS_5427948,2/11/2014,1.26,0.43,0.0636
USGS_5427948,2/12/2014,1.26,0.43,0.0634
USGS_5427948,2/13/2014,1.3,0.45,0.0632
USGS_5427948,2/14/2014,1.27,0.43,0.063
USGS_5427948,2/15/2014,1.24,0.42,0.0629
USGS_5427948,2/16/2014,1.21,0.41,0.0627
USGS_5427948,2/17/2014,1.32,0.45,0.0625
USGS_5427948,2/18/2014,1.43,0.48,0.0624
USGS_5427948,2/19/2014,1.62,0.55,0.0622
USGS_5427948,2/20/2014,3.56,1.2,0.0621
USGS_5427948,2/21/2014,6.87,2.33,0.0631
USGS_5427948,2/22/2014,4.09,1.42,0.0642
USGS_5427948,2/23/2014,3.22,1.14,0.0654
USGS_5427948,2/24/2014,2.59,0.93,0.0666
USGS_5427948,2/25/2014,2.42,0.89,0.0679
USGS_5427948,2/26/2014,1.96,0.73,0.0691
USGS_5427948,2/27/2014,1.63,0.62,0.0704
USGS_5427948,2/28/2014,1.36,0.53,0.0717
USGS_5427948,3/1/2014,1.34,0.53,0.073
USGS_5427948,3/2/2014,1.28,0.52,0.0744
USGS_5427948,3/3/2014,1.28,0.52,0.0758
USGS_5427948,3/4/2014,1.36,0.57,0.0772
USGS_5427948,3/5/2014,1.4,0.6,0.0786
USGS_5427948,3/6/2014,1.37,0.59,0.08
USGS_5427948,3/7/2014,1.56,0.69,0.0815
USGS_5427948,3/8/2014,1.77,0.79,0.083
USGS_5427948,3/9/2014,1.74,0.79,0.0846
USGS_5427948,3/10/2014,5.66,7.16,0.159
USGS_5427948,3/11/2014,27.5,144,0.655
USGS_5427948,3/12/2014,58.4,573,1.8
USGS_5427948,3/13/2014,34.8,345,1.8
USGS_5427948,3/14/2014,77.7,904,1.8
USGS_5427948,3/15/2014,89.3,981,1.88
USGS_5427948,3/16/2014,30,257,1.55
USGS_5427948,3/17/2014,17.8,113,1.17
USGS_5427948,3/18/2014,14.2,61.7,0.802
USGS_5427948,3/19/2014,33.2,264,1.44
USGS_5427948,3/20/2014,23.5,184,1.41
USGS_5427948,3/21/2014,18,92.8,0.948
USGS_5427948,3/22/2014,14.5,54.5,0.68
USGS_5427948,3/23/2014,7.88,21.9,0.512
USGS_5427948,3/24/2014,5.31,12.5,0.433
USGS_5427948,3/25/2014,4.12,8.21,0.368
USGS_5427948,3/26/2014,3.21,5.42,0.312
USGS_5427948,3/27/2014,3.59,5.06,0.264
USGS_5427948,3/28/2014,13.9,17.1,0.228
USGS_5427948,3/29/2014,8.58,11.7,0.254
USGS_5427948,3/30/2014,6.7,11,0.305
USGS_5427948,3/31/2014,6.71,12.8,0.353
USGS_5427948,4/1/2014,6.14,12,0.362
USGS_5427948,4/2/2014,4.46,8.83,0.367
USGS_5427948,4/3/2014,3.78,7.2,0.353
USGS_5427948,4/4/2014,4.51,7.25,0.298
USGS_5427948,4/5/2014,3.85,5.2,0.25
USGS_5427948,4/6/2014,3.38,3.84,0.21
USGS_5427948,4/7/2014,3.35,3.18,0.176
USGS_5427948,4/8/2014,3.35,2.68,0.148
USGS_5427948,4/9/2014,2.97,1.99,0.124
USGS_5427948,4/10/2014,2.61,1.47,0.104
USGS_5427948,4/11/2014,2.44,1.17,0.0889
USGS_5427948,4/12/2014,2.4,1.11,0.0857
USGS_5427948,4/13/2014,46.9,54.6,0.18
USGS_5427948,4/14/2014,138,322,0.48
USGS_5427948,4/15/2014,27.2,64.7,0.431
USGS_5427948,4/16/2014,16,27.5,0.314
USGS_5427948,4/17/2014,9.99,12.7,0.234
USGS_5427948,4/18/2014,7.46,7.35,0.182
USGS_5427948,4/19/2014,6.16,5,0.15
USGS_5427948,4/20/2014,5.34,3.57,0.123
USGS_5427948,4/21/2014,4.92,2.78,0.105
USGS_5427948,4/22/2014,4.27,2.15,0.0929
USGS_5427948,4/23/2014,3.87,1.73,0.0825
USGS_5427948,4/24/2014,5.48,2.16,0.0734
USGS_5427948,4/25/2014,10.5,3.74,0.0652
USGS_5427948,4/26/2014,6.22,1.95,0.058
USGS_5427948,4/27/2014,6.21,1.8,0.0531
USGS_5427948,4/28/2014,22.7,12.9,0.0936
USGS_5427948,4/29/2014,48.6,49.3,0.2
USGS_5427948,4/30/2014,24.9,34.6,0.256
USGS_5427948,5/1/2014,15.5,17.4,0.205
USGS_5427948,5/2/2014,11.6,9.88,0.156
USGS_5427948,5/3/2014,8.54,5.53,0.119
USGS_5427948,5/4/2014,6.76,3.9,0.107
USGS_5427948,5/5/2014,5.34,3.13,0.108
USGS_5427948,5/6/2014,4.46,2.65,0.11
USGS_5427948,5/7/2014,3.82,2.31,0.112
USGS_5427948,5/8/2014,3.4,2.08,0.113
USGS_5427948,5/9/2014,3.11,1.93,0.115
USGS_5427948,5/10/2014,2.79,1.76,0.117
USGS_5427948,5/11/2014,4.19,2.69,0.118
USGS_5427948,5/12/2014,21.5,18.8,0.15
USGS_5427948,5/13/2014,24.5,25,0.189
USGS_5427948,5/14/2014,11.6,12.1,0.193
USGS_5427948,5/15/2014,8.6,9.26,0.2
USGS_5427948,5/16/2014,6.94,7.71,0.206
USGS_5427948,5/17/2014,5.81,6.66,0.212
USGS_5427948,5/18/2014,4.82,5.7,0.219
USGS_5427948,5/19/2014,4.11,5.01,0.226
USGS_5427948,5/20/2014,3.92,4.94,0.233
USGS_5427948,5/21/2014,3.37,4.38,0.24
USGS_5427948,5/22/2014,2.59,3.47,0.248
USGS_5427948,5/23/2014,2.17,2.98,0.255
USGS_5427948,5/24/2014,2.04,2.8,0.255
USGS_5427948,5/25/2014,1.98,2.71,0.253
USGS_5427948,5/26/2014,1.95,2.65,0.252
USGS_5427948,5/27/2014,7.14,10.9,0.255
USGS_5427948,5/28/2014,31.3,56.3,0.316
USGS_5427948,5/29/2014,8.58,12.1,0.26
USGS_5427948,5/30/2014,6.25,8.77,0.26
USGS_5427948,5/31/2014,5.12,7.19,0.26
USGS_5427948,6/1/2014,7.92,11.7,0.262
USGS_5427948,6/2/2014,79,117,0.278
USGS_5427948,6/3/2014,20.8,36.8,0.32
USGS_5427948,6/4/2014,11.6,18.2,0.291
USGS_5427948,6/5/2014,8.55,13.1,0.282
USGS_5427948,6/6/2014,6.46,9.57,0.274
USGS_5427948,6/7/2014,5.35,7.69,0.266
USGS_5427948,6/8/2014,4.84,6.76,0.259
USGS_5427948,6/9/2014,3.58,4.86,0.251
USGS_5427948,6/10/2014,2.81,3.71,0.244
USGS_5427948,6/11/2014,2.48,3.23,0.241
USGS_5427948,6/12/2014,2.22,2.86,0.239
USGS_5427948,6/13/2014,1.86,2.38,0.237
USGS_5427948,6/14/2014,1.66,2.1,0.235
USGS_5427948,6/15/2014,1.58,1.99,0.233
USGS_5427948,6/16/2014,1.66,2.07,0.231
USGS_5427948,6/17/2014,12.7,16.7,0.24
USGS_5427948,6/18/2014,21.6,27.7,0.222
USGS_5427948,6/19/2014,45.6,56.2,0.227
USGS_5427948,6/20/2014,88.2,162,0.331
USGS_5427948,6/21/2014,21.7,36.8,0.312
USGS_5427948,6/22/2014,13.4,21.9,0.303
USGS_5427948,6/23/2014,10.7,17.3,0.298
USGS_5427948,6/24/2014,7.99,12.7,0.293
USGS_5427948,6/25/2014,6.33,9.93,0.291
USGS_5427948,6/26/2014,5.06,7.87,0.288
USGS_5427948,6/27/2014,4.05,6.25,0.286
USGS_5427948,6/28/2014,3.18,4.86,0.283
USGS_5427948,6/29/2014,6.76,10.6,0.282
USGS_5427948,6/30/2014,101,224,0.412
USGS_5427948,7/1/2014,102,255,0.494
USGS_5427948,7/2/2014,18.5,47,0.467
USGS_5427948,7/3/2014,12,25.1,0.386
USGS_5427948,7/4/2014,8.59,14.6,0.314
USGS_5427948,7/5/2014,6.77,9.35,0.255
USGS_5427948,7/6/2014,5.9,6.62,0.207
USGS_5427948,7/7/2014,5.16,4.91,0.176
USGS_5427948,7/8/2014,8.86,8.34,0.174
USGS_5427948,7/9/2014,5.26,4.97,0.175
USGS_5427948,7/10/2014,4.29,4.05,0.175
USGS_5427948,7/11/2014,3.53,3.34,0.175
USGS_5427948,7/12/2014,3.24,3.07,0.176
USGS_5427948,7/13/2014,5.05,4.8,0.176
USGS_5427948,7/14/2014,3.79,3.61,0.176
USGS_5427948,7/15/2014,3.18,3.04,0.177
USGS_5427948,7/16/2014,2.73,2.61,0.177
USGS_5427948,7/17/2014,2.36,2.26,0.177
USGS_5427948,7/18/2014,2.03,1.95,0.178
USGS_5427948,7/19/2014,1.85,1.78,0.178
USGS_5427948,7/20/2014,1.83,1.76,0.178
USGS_5427948,7/21/2014,1.82,1.76,0.179
USGS_5427948,7/22/2014,1.8,1.74,0.179
USGS_5427948,7/23/2014,1.7,1.64,0.179
USGS_5427948,7/24/2014,1.55,1.51,0.18
USGS_5427948,7/25/2014,1.55,1.51,0.18
USGS_5427948,7/26/2014,1.65,1.61,0.18
USGS_5427948,7/27/2014,1.92,1.87,0.181
USGS_5427948,7/28/2014,2.72,2.66,0.181
USGS_5427948,7/29/2014,1.87,1.83,0.181
USGS_5427948,7/30/2014,1.75,1.71,0.182
USGS_5427948,7/31/2014,1.61,1.58,0.182
USGS_5427948,8/1/2014,3.11,3.07,0.183
USGS_5427948,8/2/2014,5.97,5.9,0.183
USGS_5427948,8/3/2014,2.64,2.61,0.183
USGS_5427948,8/4/2014,5.23,5.19,0.184
USGS_5427948,8/5/2014,6.92,6.87,0.184
USGS_5427948,8/6/2014,3.91,3.89,0.184
USGS_5427948,8/7/2014,3.03,3.02,0.185
USGS_5427948,8/8/2014,2.31,2.31,0.185
USGS_5427948,8/9/2014,1.83,1.83,0.185
USGS_5427948,8/10/2014,1.59,1.59,0.186
USGS_5427948,8/11/2014,1.65,1.66,0.186
USGS_5427948,8/12/2014,1.65,1.66,0.186
USGS_5427948,8/13/2014,1.49,1.51,0.187
USGS_5427948,8/14/2014,1.43,1.45,0.187
USGS_5427948,8/15/2014,1.34,1.35,0.188
USGS_5427948,8/16/2014,1.34,1.36,0.188
USGS_5427948,8/17/2014,1.35,1.37,0.188
USGS_5427948,8/18/2014,1.39,1.41,0.189
USGS_5427948,8/19/2014,6.17,6.3,0.189
USGS_5427948,8/20/2014,3.66,3.75,0.19
USGS_5427948,8/21/2014,8.51,10.4,0.212
USGS_5427948,8/22/2014,6.76,7.29,0.199
USGS_5427948,8/23/2014,4.96,5.24,0.196
USGS_5427948,8/24/2014,4.51,4.69,0.192
USGS_5427948,8/25/2014,40.3,70.6,0.287
USGS_5427948,8/26/2014,17.9,25.1,0.266
USGS_5427948,8/27/2014,7.48,13.7,0.341
USGS_5427948,8/28/2014,5.53,11.8,0.395
USGS_5427948,8/29/2014,4.72,11.4,0.449
USGS_5427948,8/30/2014,7.72,19.6,0.47
USGS_5427948,8/31/2014,5.68,14.8,0.483
USGS_5427948,9/1/2014,5.4,14.4,0.495
USGS_5427948,9/2/2014,5.51,14,0.469
USGS_5427948,9/3/2014,4.28,10,0.432
USGS_5427948,9/4/2014,141,394,0.535
USGS_5427948,9/5/2014,30.2,126,0.755
USGS_5427948,9/6/2014,12,40.1,0.614
USGS_5427948,9/7/2014,7.47,21,0.518
USGS_5427948,9/8/2014,5.93,14.1,0.438
USGS_5427948,9/9/2014,5.04,10.1,0.371
USGS_5427948,9/10/2014,7.02,12,0.316
USGS_5427948,9/11/2014,5.34,7.92,0.274
USGS_5427948,9/12/2014,5.08,6.48,0.237
USGS_5427948,9/13/2014,4.76,5.32,0.206
USGS_5427948,9/14/2014,3.85,3.97,0.191
USGS_5427948,9/15/2014,4.33,4.19,0.18
USGS_5427948,9/16/2014,3.93,3.6,0.17
USGS_5427948,9/17/2014,3.04,2.63,0.16
USGS_5427948,9/18/2014,2.57,2.1,0.151
USGS_5427948,9/19/2014,2.88,2.22,0.142
USGS_5427948,9/20/2014,2.17,1.58,0.134
USGS_5427948,9/21/2014,2.27,1.55,0.127
USGS_5427948,9/22/2014,1.99,1.28,0.12
USGS_5427948,9/23/2014,1.87,1.14,0.113
USGS_5427948,9/24/2014,1.81,1.04,0.107
USGS_5427948,9/25/2014,1.87,1.02,0.101
USGS_5427948,9/26/2014,1.8,0.92,0.0949
USGS_5427948,9/27/2014,1.69,0.82,0.0896
USGS_5427948,9/28/2014,1.66,0.76,0.0845
USGS_5427948,9/29/2014,1.76,0.76,0.0805
USGS_5427948,9/30/2014,1.81,0.78,0.08
USGS_5427948,10/1/2014,1.79,0.77,0.08
USGS_5427948,10/2/2014,1.84,0.79,0.08
USGS_5427948,10/3/2014,7.49,3.88,0.093
USGS_5427948,10/4/2014,5.28,2.28,0.08
USGS_5427948,10/5/2014,4.35,1.88,0.08
USGS_5427948,10/6/2014,3.76,1.62,0.08
USGS_5427948,10/7/2014,3.1,1.34,0.08
USGS_5427948,10/8/2014,2.51,1.09,0.08
USGS_5427948,10/9/2014,1.94,0.84,0.08
USGS_5427948,10/10/2014,1.8,0.78,0.08
USGS_5427948,10/11/2014,1.89,0.82,0.08
USGS_5427948,10/12/2014,1.71,0.74,0.08
USGS_5427948,10/13/2014,9.5,7.45,0.103
USGS_5427948,10/14/2014,22.7,18.9,0.156
USGS_5427948,10/15/2014,14.1,19,0.25
USGS_5427948,10/16/2014,8.44,11.6,0.254
USGS_5427948,10/17/2014,6.48,8.65,0.247
USGS_5427948,10/18/2014,5.47,6.62,0.224
USGS_5427948,10/19/2014,4.68,4.81,0.19
USGS_5427948,10/20/2014,3.94,3.37,0.158
USGS_5427948,10/21/2014,3.6,2.57,0.132
USGS_5427948,10/22/2014,3.06,1.92,0.116
USGS_5427948,10/23/2014,2.78,1.64,0.109
USGS_5427948,10/24/2014,2.7,1.48,0.102
USGS_5427948,10/25/2014,2.39,1.22,0.0946
USGS_5427948,10/26/2014,2.1,0.99,0.0874
USGS_5427948,10/27/2014,2.07,0.91,0.0816
USGS_5427948,10/28/2014,2.03,0.89,0.0812
USGS_5427948,10/29/2014,1.92,0.84,0.0813
USGS_5427948,10/30/2014,1.86,0.82,0.0814
USGS_5427948,10/31/2014,1.81,0.8,0.0816
USGS_5427948,11/1/2014,1.73,0.76,0.0817
USGS_5427948,11/2/2014,1.73,0.77,0.0819
USGS_5427948,11/3/2014,1.97,0.87,0.082
USGS_5427948,11/4/2014,2.7,1.2,0.0821
USGS_5427948,11/5/2014,2.07,0.92,0.0823
USGS_5427948,11/6/2014,2.08,0.93,0.0824
USGS_5427948,11/7/2014,1.81,0.81,0.0826
USGS_5427948,11/8/2014,1.86,0.83,0.0827
USGS_5427948,11/9/2014,1.71,0.76,0.0828
USGS_5427948,11/10/2014,1.73,0.78,0.083
USGS_5427948,11/11/2014,1.89,0.85,0.0831
USGS_5427948,11/12/2014,1.84,0.83,0.0833
USGS_5427948,11/13/2014,1.76,0.79,0.0834
USGS_5427948,11/14/2014,1.66,0.75,0.0836
USGS_5427948,11/15/2014,1.65,0.74,0.0837
USGS_5427948,11/16/2014,1.68,0.76,0.0838
USGS_5427948,11/17/2014,1.78,0.81,0.084
USGS_5427948,11/18/2014,1.75,0.8,0.084
USGS_5427948,11/19/2014,1.85,0.84,0.084
USGS_5427948,11/20/2014,1.61,0.73,0.084
USGS_5427948,11/21/2014,1.58,0.72,0.084
USGS_5427948,11/22/2014,1.76,0.8,0.084
USGS_5427948,11/23/2014,5.33,3.24,0.103
USGS_5427948,11/24/2014,10.3,5.19,0.0941
USGS_5427948,11/25/2014,6.83,4.07,0.111
USGS_5427948,11/26/2014,5.09,3.26,0.119
USGS_5427948,11/27/2014,3.93,2.52,0.118
USGS_5427948,11/28/2014,2.84,1.79,0.117
USGS_5427948,11/29/2014,2.71,1.58,0.108
USGS_5427948,11/30/2014,3.38,1.7,0.093
USGS_5427948,12/1/2014,2.84,1.2,0.0777
USGS_5427948,12/2/2014,2.34,0.89,0.0708
USGS_5427948,12/3/2014,2.11,0.78,0.0688
USGS_5427948,12/4/2014,1.99,0.72,0.0668
USGS_5427948,12/5/2014,1.91,0.67,0.0648
USGS_5427948,12/6/2014,1.85,0.63,0.0629
USGS_5427948,12/7/2014,1.68,0.55,0.0609
