"","sampledate","TotP_kgday"
"1",2012-07-26,77.3041300081836
"2",2012-07-27,47.862556952204
"3",2012-07-28,29.2372352589715
"4",2012-07-29,30.8559859775108
"5",2012-07-30,24.9656162447932
"6",2012-07-31,30.2137115705358
"7",2012-08-01,23.6033153332748
"8",2012-08-02,26.3544380102337
"9",2012-08-03,22.1702350579221
"10",2012-08-04,21.5333920435399
"11",2012-08-05,23.6657029508958
"12",2012-08-06,20.0378262876366
"13",2012-08-07,20.401484934036
"14",2012-08-08,18.8732084939133
"15",2012-08-09,24.674743152285
"16",2012-08-10,21.2502011910054
"17",2012-08-11,20.7305490348212
"18",2012-08-12,18.4607162456428
"19",2012-08-13,18.3883710749348
"20",2012-08-14,17.617480312731
"21",2012-08-15,13.5222102976947
"22",2012-08-16,25.2030317120066
"23",2012-08-17,24.1984687396467
"24",2012-08-18,18.4163354070684
"25",2012-08-19,14.0114026170405
"26",2012-08-20,15.8887805927843
"27",2012-08-21,14.2605127043413
"28",2012-08-22,14.2011343718055
"29",2012-08-23,14.3086367999728
"30",2012-08-24,13.4325678541797
"31",2012-08-25,12.52004496711
"32",2012-08-26,14.1448387215522
"33",2012-08-27,14.0011025436999
"34",2012-08-28,12.8188938883808
"35",2012-08-29,11.9942519120933
"36",2012-08-30,9.89186259546308
"37",2012-08-31,16.6578853565229
"38",2012-09-01,12.3865354654011
"39",2012-09-02,9.61285538316905
"40",2012-09-03,11.3068382288395
"41",2012-09-04,10.3902784959238
"42",2012-09-05,11.8259766046434
"43",2012-09-06,11.8004588457498
"44",2012-09-07,11.3117313753196
"45",2012-09-08,10.7040759796912
"46",2012-09-09,13.0548658773825
"47",2012-09-10,7.77985824599954
"48",2012-09-11,9.84995279586122
"49",2013-07-14,54.814715005366
"50",2013-07-15,49.1039482141998
"51",2013-07-16,46.8308370168797
"52",2013-07-17,46.9332995041725
"53",2013-07-18,36.1921579398947
"54",2013-07-19,48.4526704177014
"55",2013-07-20,44.6650569876001
"56",2013-07-21,47.9048826692567
"57",2013-07-22,58.1951697168601
"58",2013-07-23,69.1083543113774
"59",2013-07-24,44.460107547282
"60",2013-07-25,34.2512179913747
"61",2013-07-26,45.0589063477815
"62",2013-07-27,37.4616847941509
"63",2013-07-28,36.5284638974705
"64",2013-07-29,33.2972256878864
"65",2013-07-30,30.266826675577
"66",2013-07-31,30.3123084721093
"67",2013-08-01,28.2376632960212
"68",2013-08-02,27.4876418035549
"69",2013-08-03,24.1312858384752
"70",2013-08-04,21.5630200454768
"71",2013-08-05,22.4922040963112
"72",2013-08-06,21.4240302197102
"73",2013-08-07,23.1066609655469
"74",2013-08-08,19.5412697828383
"75",2013-08-09,19.8130351383418
"76",2013-08-10,18.7614734940407
"77",2013-08-11,17.6196088314498
"78",2013-08-12,16.8854166678465
"79",2013-08-13,16.9644409834998
"80",2013-08-14,16.3046980435909
"81",2013-08-15,16.712028022325
"82",2013-08-16,16.5546155000609
"83",2013-08-17,15.2420534225124
"84",2013-08-18,16.1562889108502
"85",2013-08-19,16.8428707592023
"86",2013-08-20,14.2366341495185
"87",2013-08-21,15.4479080949293
"88",2013-08-22,43.3405556326402
"89",2013-08-23,48.5008679105302
"90",2013-08-24,24.99035110025
"91",2013-08-25,18.2594121994524
"92",2013-08-26,17.6104341817996
"93",2013-08-27,16.4870656129034
"94",2013-08-28,16.5904088665627
"95",2013-08-29,13.7227314404483
"96",2013-08-30,17.4402750129549
"97",2013-08-31,13.5706279821151
"98",2013-09-01,14.6557321455371
"99",2013-09-02,15.3226924765041
"100",2013-09-03,14.2196304655002
"101",2013-09-04,14.4936955998494
"102",2013-09-05,12.8122636749003
"103",2013-09-06,12.7677360419315
"104",2013-09-07,15.4772425080774
"105",2013-09-08,12.5325224906342
"106",2013-09-09,11.6710840528165
"107",2013-09-10,12.152740926583
"108",2013-09-11,15.0687626399205
"109",2013-09-12,14.6132840998225
"110",2014-07-14,35.5380421184379
"111",2014-07-15,36.7704299909103
"112",2014-07-16,32.7951154618332
"113",2014-07-17,31.1896985674521
"114",2014-07-18,32.3352330899031
"115",2014-07-19,30.9381419069113
"116",2014-07-20,28.2944727266549
"117",2014-07-21,27.9760267537314
"118",2014-07-22,31.7318102659799
"119",2014-07-23,25.0781096823702
"120",2014-07-24,24.6193771998629
"121",2014-07-25,25.0059357717891
"122",2014-07-26,30.3052134097132
"123",2014-07-27,28.6902793454284
"124",2014-07-28,23.377790212008
"125",2014-07-29,24.8803531673779
"126",2014-07-30,24.7999343049778
"127",2014-07-31,23.9862529768057
"128",2014-08-01,27.3322110056152
"129",2014-08-02,34.10623406117
"130",2014-08-03,26.6848232605685
"131",2014-08-04,42.4600828550151
"132",2014-08-05,131.349862578473
"133",2014-08-06,59.3657082178243
"134",2014-08-07,45.0165806307289
"135",2014-08-08,37.5224821391658
"136",2014-08-09,34.9000002831682
"137",2014-08-10,32.7452787649336
"138",2014-08-11,36.8006207046924
"139",2014-08-12,29.785805910853
"140",2014-08-13,31.5926736458189
"141",2014-08-14,28.5725747068501
"142",2014-08-15,23.5950459157235
"143",2014-08-16,31.3015069645219
"144",2014-08-17,27.9237190178594
"145",2014-08-18,22.6193280418636
