Site_ID,sampledate,Q_cfs,SRP_mgL,SRP_lbday
USGS_5427910,4/8/2022,41.2,0.0712,15.9
USGS_5427910,4/9/2022,34.4,0.0649,12.1
USGS_5427910,4/10/2022,28.9,0.0586,9.16
USGS_5427910,4/11/2022,27,0.0523,7.64
USGS_5427910,4/12/2022,25.6,0.0473,6.53
USGS_5427910,4/13/2022,29.3,0.0468,7.39
USGS_5427910,4/14/2022,34,0.0466,8.55
USGS_5427910,4/15/2022,28.7,0.0464,7.17
USGS_5427910,4/16/2022,25.8,0.0462,6.43
USGS_5427910,4/17/2022,24.8,0.046,6.17
USGS_5427910,4/18/2022,23.8,0.0458,5.89
USGS_5427910,4/19/2022,24,0.0456,5.9
USGS_5427910,4/20/2022,24.7,0.0454,6.06
USGS_5427910,4/21/2022,25.2,0.0452,6.14
USGS_5427910,4/22/2022,47.8,0.0596,16.8
USGS_5427910,4/23/2022,44,0.0674,16.1
USGS_5427910,4/24/2022,38.6,0.0666,13.9
USGS_5427910,4/25/2022,34,0.066,12.1
USGS_5427910,4/26/2022,27.7,0.0655,9.81
USGS_5427910,4/27/2022,27.2,0.0652,9.57
USGS_5427910,4/28/2022,26.1,0.0652,9.17
USGS_5427910,4/29/2022,24.4,0.0651,8.58
USGS_5427910,4/30/2022,28.7,0.065,10.1
USGS_5427910,5/1/2022,30.3,0.065,10.6
USGS_5427910,5/2/2022,26.8,0.0649,9.38
USGS_5427910,5/3/2022,32.2,0.0648,11.3
USGS_5427910,5/4/2022,31.7,0.0648,11.1
USGS_5427910,5/5/2022,28,0.0647,9.79
USGS_5427910,5/6/2022,25.7,0.0646,8.96
USGS_5427910,5/7/2022,23.9,0.0646,8.32
USGS_5427910,5/8/2022,23.9,0.0645,8.31
USGS_5427910,5/9/2022,23.4,0.0644,8.15
USGS_5427910,5/10/2022,23,0.0644,7.98
USGS_5427910,5/11/2022,21.7,0.0643,7.54
USGS_5427910,5/12/2022,21.5,0.0642,7.46
USGS_5427910,5/13/2022,20.2,0.0642,7.01
USGS_5427910,5/14/2022,19.7,0.0641,6.81
USGS_5427910,5/15/2022,19.9,0.064,6.89
USGS_5427910,5/16/2022,17.9,0.064,6.18
USGS_5427910,5/17/2022,18.3,0.0639,6.33
USGS_5427910,5/18/2022,20.7,0.0638,7.14
USGS_5427910,5/19/2022,20.2,0.0636,6.93
USGS_5427910,5/20/2022,19.3,0.0635,6.63
USGS_5427910,5/21/2022,19.3,0.0634,6.63
USGS_5427910,5/22/2022,17.6,0.0633,6.01
USGS_5427910,5/23/2022,18.9,0.0632,6.45
USGS_5427910,5/24/2022,18.1,0.0631,6.18
USGS_5427910,5/25/2022,27.1,0.0943,15.9
USGS_5427910,5/26/2022,35.8,0.153,29.5
USGS_5427910,5/27/2022,29.2,0.124,19.4
USGS_5427910,5/28/2022,25.5,0.102,13.9
USGS_5427910,5/29/2022,22.7,0.0931,11.1
USGS_5427910,5/30/2022,21.6,0.0841,9.5
USGS_5427910,5/31/2022,19,0.075,7.37
USGS_5427910,6/1/2022,17.8,0.0681,6.21
USGS_5427910,6/2/2022,16.8,0.0645,5.49
USGS_5427910,6/3/2022,16,0.0608,4.9
USGS_5427910,6/4/2022,15.9,0.0572,4.52
USGS_5427910,6/5/2022,17.9,0.0598,5.38
USGS_5427910,6/6/2022,25.2,0.103,13.3
USGS_5427910,6/7/2022,20.1,0.0879,8.8
USGS_5427910,6/8/2022,39.6,0.0858,18.3
USGS_5427910,6/9/2022,31.2,0.142,22.3
USGS_5427910,6/10/2022,25,0.124,15.4
USGS_5427910,6/11/2022,22.8,0.113,12.6
USGS_5427910,6/12/2022,19.8,0.105,9.86
USGS_5427910,6/13/2022,29.5,0.0977,14.3
USGS_5427910,6/14/2022,47.2,0.13,30.6
USGS_5427910,6/15/2022,44.4,0.141,36.2
USGS_5427910,6/16/2022,96.3,0.235,122
USGS_5427910,6/17/2022,33.3,0.195,32.2
USGS_5427910,6/18/2022,24,0.105,11.9
USGS_5427910,6/19/2022,21,0.0642,6.04
USGS_5427910,6/20/2022,18,0.0637,4.9
USGS_5427910,6/21/2022,15.5,0.0631,3.96
USGS_5427910,6/22/2022,12.6,0.0625,2.91
USGS_5427910,6/23/2022,12.6,0.062,2.74
USGS_5427910,6/24/2022,11.3,0.0614,3.24
USGS_5427910,6/25/2022,10.6,0.0608,1.73
USGS_5427910,6/26/2022,10.2,0.0603,2.88
USGS_5427910,6/27/2022,10.4,0.0597,2.22
USGS_5427910,6/28/2022,12.9,0.0591,3.08
USGS_5427910,6/29/2022,13.6,0.0586,3.32
USGS_5427910,6/30/2022,13.1,0.058,3.18
USGS_5427910,7/1/2022,12.5,0.0574,3.03
USGS_5427910,7/2/2022,13,0.0568,3.2
USGS_5427910,7/3/2022,12.9,0.0563,3.2
USGS_5427910,7/4/2022,12.9,0.0557,3.19
USGS_5427910,7/5/2022,16.3,0.0629,5.25
USGS_5427910,7/6/2022,40.4,0.175,35.6
USGS_5427910,7/7/2022,18.1,0.175,15.3
USGS_5427910,7/8/2022,15.4,0.166,12.2
USGS_5427910,7/9/2022,14.2,0.156,10.6
USGS_5427910,7/10/2022,13.7,0.146,9.7
USGS_5427910,7/11/2022,14.4,0.137,9.68
USGS_5427910,7/12/2022,12.6,0.127,7.83
USGS_5427910,7/13/2022,13.2,0.117,7.74
USGS_5427910,7/14/2022,13.4,0.11,7.4
USGS_5427910,7/15/2022,13.6,0.109,7.57
USGS_5427910,7/16/2022,14.5,0.109,8.16
USGS_5427910,7/17/2022,12.1,0.109,6.83
USGS_5427910,7/18/2022,12.1,0.109,6.9
USGS_5427910,7/19/2022,10.9,0.108,6.31
USGS_5427910,7/20/2022,12.7,0.108,7.41
USGS_5427910,7/21/2022,11.4,0.108,6.66
USGS_5427910,7/22/2022,12.1,0.108,7.07
USGS_5427910,7/23/2022,14,0.111,8.48
USGS_5427910,7/24/2022,34.8,0.163,30.8
USGS_5427910,7/25/2022,18.2,0.127,12.8
USGS_5427910,7/26/2022,14.6,0.0852,6.79
USGS_5427910,7/27/2022,17,0.0789,7.27
USGS_5427910,7/28/2022,14.2,0.078,5.99
USGS_5427910,7/29/2022,12.7,0.077,5.28
USGS_5427910,7/30/2022,14.7,0.0761,6.04
USGS_5427910,7/31/2022,12.2,0.0752,4.98
USGS_5427910,8/1/2022,15.1,0.0742,6.08
USGS_5427910,8/2/2022,14.6,0.0733,5.78
USGS_5427910,8/3/2022,15.2,0.0724,5.96
USGS_5427910,8/4/2022,16.8,0.0714,6.49
USGS_5427910,8/5/2022,13.1,0.0705,5.01
USGS_5427910,8/6/2022,13.6,0.0702,5.17
USGS_5427910,8/7/2022,58,0.191,59.9
USGS_5427910,8/8/2022,38.7,0.219,41.2
USGS_5427910,8/9/2022,29.7,0.229,31.9
USGS_5427910,8/10/2022,26.3,0.222,27
USGS_5427910,8/11/2022,23.9,0.215,23.3
USGS_5427910,8/12/2022,23.4,0.208,21.9
USGS_5427910,8/13/2022,20.3,0.201,17.8
USGS_5427910,8/14/2022,18.3,0.194,15.2
USGS_5427910,8/15/2022,16.8,0.188,13.1
USGS_5427910,8/16/2022,17,0.183,13
USGS_5427910,8/17/2022,15.9,0.178,11.6
USGS_5427910,8/18/2022,15.6,0.173,11
USGS_5427910,8/19/2022,15.8,0.168,10.8
USGS_5427910,8/20/2022,19.6,0.163,13.8
USGS_5427910,8/21/2022,21.3,0.158,14.8
USGS_5427910,8/22/2022,14.8,0.153,9.06
USGS_5427910,8/23/2022,16.6,0.148,10.2
USGS_5427910,8/24/2022,14.5,0.144,8.21
USGS_5427910,8/25/2022,167,0.284,271
USGS_5427910,8/26/2022,132,0.243,175
USGS_5427910,8/27/2022,108,0.225,131
USGS_5427910,8/28/2022,90.1,0.21,102
USGS_5427910,8/29/2022,75.1,0.192,78.3
USGS_5427910,8/30/2022,45.1,0.171,41.8
USGS_5427910,8/31/2022,40.1,0.16,34.5
USGS_5427910,9/1/2022,39.8,0.151,32.4
USGS_5427910,9/2/2022,37.9,0.142,29.1
USGS_5427910,9/3/2022,48,0.165,43.8
USGS_5427910,9/4/2022,47.1,0.15,38.7
USGS_5427910,9/5/2022,42.7,0.134,30.8
USGS_5427910,9/6/2022,44.9,0.13,31.6
USGS_5427910,9/7/2022,41.2,0.127,28.2
USGS_5427910,9/8/2022,42.6,0.123,28.4
USGS_5427910,9/9/2022,37.8,0.12,24.5
USGS_5427910,9/10/2022,35.4,0.116,22.3
USGS_5427910,9/11/2022,53.6,0.17,52.9
USGS_5427910,9/12/2022,116,0.288,182
USGS_5427910,9/13/2022,73.9,0.206,82.7
USGS_5427910,9/14/2022,64,0.187,64.6
USGS_5427910,9/15/2022,57.5,0.167,51.9
USGS_5427910,9/16/2022,48.1,0.144,37.6
USGS_5427910,9/17/2022,43,0.122,28.3
USGS_5427910,9/18/2022,36.1,0.0992,19.4
USGS_5427910,9/19/2022,30,0.0794,12.9
USGS_5427910,9/20/2022,28.8,0.0755,11.8
USGS_5427910,9/21/2022,28.2,0.0742,11.3
USGS_5427910,9/22/2022,26.3,0.0728,10.4
USGS_5427910,9/23/2022,23.3,0.0715,9
USGS_5427910,9/24/2022,24.7,0.0702,9.34
USGS_5427910,9/25/2022,27.8,0.0688,10.3
USGS_5427910,9/26/2022,21.7,0.0675,7.9
USGS_5427910,9/27/2022,25.1,0.0662,8.96
USGS_5427910,9/28/2022,19.6,0.0648,6.86
USGS_5427910,9/29/2022,21.5,0.0635,7.36
USGS_5427910,9/30/2022,17.7,0.0622,5.93
