"","sampledate","Thermo_depth_m","Thermo_depth_m_k1","vol_chg_m3"
"1",2012-02-22,0.5,NA,NA
"2",2012-02-23,1.17784262656757,0.677842626567572,26980847.9078956
"3",2012-02-24,1.85568525313514,0.677842626567571,26980847.9078956
"4",2012-02-25,2.53352787970271,0.677842626567571,26980847.9078956
"5",2012-02-26,3.21137050627029,0.677842626567572,26980847.9078956
"6",2012-02-27,3.88921313283786,0.677842626567572,26980847.9078956
"7",2012-02-28,4.56705575940543,0.677842626567571,26980847.9078956
"8",2012-02-29,5.244898385973,0.677842626567572,26980847.9078956
"9",2012-03-01,5.92274101254057,0.677842626567571,26980847.9078956
"10",2012-03-02,6.60058363910814,0.677842626567572,26980847.9078956
"11",2012-03-03,7.27842626567572,0.677842626567571,26980847.9078956
"12",2012-03-04,7.95626889224329,0.677842626567572,26980847.9078956
"13",2012-03-05,8.63411151881086,0.67784262656757,26980847.9078956
"14",2012-03-06,9.31195414537843,0.677842626567573,26980847.9078957
"15",2012-03-07,9.989796771946,0.677842626567571,26980847.9078956
"16",2012-03-08,10.6676393985136,0.677842626567571,26980847.9078956
"17",2012-03-09,11.3454820250811,0.677842626567571,26980847.9078956
"18",2012-03-10,12.0233246516487,0.677842626567571,26980847.9078956
"19",2012-03-11,12.7011672782163,0.677842626567573,26980847.9078957
"20",2012-03-12,13.3790099047839,0.677842626567571,26980847.9078956
"21",2012-03-13,14.0568525313514,0.677842626567571,26980847.9078956
"22",2012-03-14,14.734695157919,0.677842626567571,26980847.9078956
"23",2012-03-15,15.4125377844866,0.677842626567573,26980847.9078957
"24",2012-03-16,16.0903804110541,0.677842626567573,26980847.9078957
"25",2012-03-17,16.7682230376217,0.677842626567568,26980847.9078955
"26",2012-03-18,17.4460656641893,0.677842626567575,26980847.9078957
"27",2012-03-19,18.1239082907569,0.677842626567571,26980847.9078956
"28",2012-03-20,18.8017509173244,0.677842626567571,26980847.9078956
"29",2012-03-21,19.479593543892,0.677842626567571,26980847.9078956
"30",2012-03-22,18.1239082907569,-1.35568525313514,-53961695.8157912
"31",2012-03-23,16.7682230376217,-1.35568525313514,-53961695.8157912
"32",2012-03-24,15.4125377844866,-1.35568525313514,-53961695.8157913
"33",2012-03-25,14.0568525313514,-1.35568525313514,-53961695.8157913
"34",2012-03-26,12.7011672782163,-1.35568525313514,-53961695.8157912
"35",2012-03-27,11.3454820250811,-1.35568525313514,-53961695.8157912
"36",2012-03-28,9.989796771946,-1.35568525313514,-53961695.8157913
"37",2012-03-29,8.63411151881086,-1.35568525313514,-53961695.8157912
"38",2012-03-30,7.27842626567572,-1.35568525313514,-53961695.8157913
"39",2012-03-31,5.92274101254057,-1.35568525313514,-53961695.8157912
"40",2012-04-01,4.56705575940543,-1.35568525313514,-53961695.8157913
"41",2012-04-02,3.21137050627029,-1.35568525313514,-53961695.8157911
"42",2012-04-03,1.85568525313514,-1.35568525313515,-53961695.8157914
"43",2012-04-04,0.5,-1.35568525313514,-53961695.8157912
"44",2012-04-05,0.5,0,0
"45",2012-04-06,0.5,0,0
"46",2012-04-07,0.5,0,0
"47",2012-04-08,0.5,0,0
"48",2012-04-09,0.5,0,0
"49",2012-04-10,0.5,0,0
"50",2012-04-11,0.5,0,0
"51",2012-04-12,0.5,0,0
"52",2012-04-13,0.5,0,0
"53",2012-04-14,0.5,0,0
"54",2012-04-15,0.5,0,0
"55",2012-04-16,0.5,0,0
"56",2012-04-17,0.5,0,0
"57",2012-04-18,0.533429640969377,0.033429640969377,1330633.42914508
"58",2012-04-19,0.566859281938754,0.033429640969377,1330633.42914508
"59",2012-04-20,0.600288922908131,0.0334296409693771,1330633.42914508
"60",2012-04-21,0.633718563877508,0.033429640969377,1330633.42914508
"61",2012-04-22,0.667148204846885,0.033429640969377,1330633.42914508
"62",2012-04-23,0.700577845816262,0.0334296409693771,1330633.42914508
"63",2012-04-24,0.734007486785639,0.033429640969377,1330633.42914508
"64",2012-04-25,0.767437127755016,0.033429640969377,1330633.42914508
"65",2012-04-26,0.800866768724393,0.033429640969377,1330633.42914508
"66",2012-04-27,0.83429640969377,0.033429640969377,1330633.42914508
"67",2012-04-28,0.867726050663147,0.0334296409693771,1330633.42914508
"68",2012-04-29,0.901155691632524,0.033429640969377,1330633.42914508
"69",2012-04-30,0.934585332601901,0.033429640969377,1330633.42914508
"70",2012-05-01,0.968014973571278,0.0334296409693771,1330633.42914508
"71",2012-05-02,1.00144461454065,0.0334296409693768,1330633.42914508
"72",2012-05-03,1.03487425551003,0.0334296409693771,1330633.42914508
"73",2012-05-04,1.06830389647941,0.0334296409693771,1330633.42914508
"74",2012-05-05,1.10173353744879,0.0334296409693768,1330633.42914508
"75",2012-05-06,1.13516317841816,0.0334296409693771,1330633.42914508
"76",2012-05-07,1.16859281938754,0.0334296409693768,1330633.42914508
"77",2012-05-08,1.20202246035692,0.0334296409693771,1330633.42914508
"78",2012-05-09,1.23545210132629,0.0334296409693771,1330633.42914508
"79",2012-05-10,1.26888174229567,0.0334296409693771,1330633.42914508
"80",2012-05-11,1.30231138326505,0.0334296409693768,1330633.42914508
"81",2012-05-12,1.33574102423442,0.0334296409693771,1330633.42914508
"82",2012-05-13,1.3691706652038,0.0334296409693768,1330633.42914508
"83",2012-05-14,1.40260030617318,0.0334296409693771,1330633.42914508
"84",2012-05-15,2.19759364494197,0.79499333876879,31643914.8563529
"85",2012-05-16,2.99258698371076,0.79499333876879,31643914.8563529
"86",2012-05-17,3.78758032247955,0.79499333876879,31643914.8563529
