"","sampledate","Project.x","Date_Time","TotP_mgL","sampletime.x","Site_ID.x","Project.y","Date.Time","SRP_mgL","Site_ID.y","sampletime.y"
"336",2009-08-04,"","8/4/2009 11:00",0.216,"11:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"337",2009-08-08,"","8/8/2009 23:45",0.24,"11:45:00","WIDNR_133040",NA,NA,NA,NA,NA
"338",2009-08-09,"","8/9/2009 22:00",0.175,"10:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"339",2009-08-19,"","8/19/2009 11:00",0.216,"11:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"340",2009-08-26,"","8/26/2009 11:00",0.176,"11:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"341",2009-08-31,"","8/31/2009 10:05",0.179,"10:05:00","WIDNR_133040","","8/31/2009 10:05",1e-04,"WIDNR_133040","10:05:00"
"342",2009-09-03,"","9/3/2009 11:00",0.16,"11:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"343",2009-09-09,"","9/9/2009 11:00",0.137,"11:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"344",2009-09-11,"","9/11/2009 11:00",0.124,"11:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"345",2009-09-14,"","9/14/2009 8:40",0.127,"8:40:00","WIDNR_133040","","9/14/2009 8:40",1e-04,"WIDNR_133040","8:40:00"
"346",2009-09-23,"","9/23/2009 19:00",0.087,"7:00:00","WIDNR_133040","","9/23/2009 8:30",0.006,"WIDNR_133040","8:30:00"
"347",2009-09-24,"","9/24/2009 7:30",0.133,"7:30:00","WIDNR_133040",NA,NA,NA,NA,NA
"348",2009-09-27,"","9/27/2009 11:00",0.184,"11:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"349",2009-10-07,"","10/7/2009 3:00",0.083,"3:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"350",2009-10-14,"","10/14/2009 11:00",0.055,"11:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"351",2009-11-06,"","11/6/2009 10:00",0.111,"10:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"352",2009-11-10,"","11/10/2009 10:00",0.074,"10:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"353",2009-11-13,"","11/13/2009 10:00",0.065,"10:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"354",2009-11-18,"","11/18/2009 10:00",0.058,"10:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"355",2009-12-02,"","12/2/2009 18:30",0.043,"6:30:00","WIDNR_133040",NA,NA,NA,NA,NA
"356",2010-01-21,"","1/21/2010 10:25",0.05,"10:25:00","WIDNR_133040",NA,NA,NA,NA,NA
"357",2010-02-25,"","2/25/2010 8:30",0.052,"8:30:00","WIDNR_133040",NA,NA,NA,NA,NA
"358",2010-03-11,"","3/11/2010 11:50",0.176,"11:50:00","WIDNR_133040","","3/11/2010 11:50",0.089,"WIDNR_133040","11:50:00"
"359",2010-03-12,"","3/12/2010 21:10",0.234,"9:10:00","WIDNR_133040","","3/12/2010 8:30",0.086,"WIDNR_133040","8:30:00"
"360",2010-03-13,"","3/13/2010 9:55",0.24,"9:55:00","WIDNR_133040",NA,NA,NA,NA,NA
"361",2010-03-14,"","3/14/2010 18:10",0.16,"6:10:00","WIDNR_133040",NA,NA,NA,NA,NA
"362",2010-03-15,"","3/15/2010 17:10",0.159,"5:10:00","WIDNR_133040",NA,NA,NA,NA,NA
"363",2010-03-16,"","3/16/2010 18:30",0.123,"6:30:00","WIDNR_133040","","3/16/2010 5:40",0.046,"WIDNR_133040","5:40:00"
"364",2010-03-17,"","3/17/2010 21:15",0.119,"9:15:00","WIDNR_133040",NA,NA,NA,NA,NA
"365",2010-03-18,"","3/18/2010 22:00",0.153,"10:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"366",2010-03-19,"","3/19/2010 19:00",0.11,"7:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"367",2010-03-21,"","3/21/2010 10:00",0.078,"10:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"368",2010-03-23,"","3/23/2010 11:00",0.076,"11:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"369",2010-03-28,"","3/28/2010 10:45",0.08,"10:45:00","WIDNR_133040",NA,NA,NA,NA,NA
"370",2010-04-03,"","4/3/2010 0:45",0.096,"12:45:00","WIDNR_133040",NA,NA,NA,NA,NA
"371",2010-04-04,"","4/4/2010 22:15",0.111,"10:15:00","WIDNR_133040",NA,NA,NA,NA,NA
"372",2010-04-06,"","4/6/2010 6:45",0.224,"6:45:00","WIDNR_133040",NA,NA,NA,NA,NA
"373",2010-04-07,"","4/7/2010 23:30",0.118,"11:30:00","WIDNR_133040",NA,NA,NA,NA,NA
"374",2010-04-09,"","4/9/2010 6:45",0.109,"6:45:00","WIDNR_133040",NA,NA,NA,NA,NA
"375",2010-04-13,"","4/13/2010 9:45",0.146,"9:45:00","WIDNR_133040",NA,NA,NA,NA,NA
"376",2010-04-16,"","4/16/2010 0:45",0.129,"12:45:00","WIDNR_133040",NA,NA,NA,NA,NA
"377",2010-04-19,"","4/19/2010 11:00",0.118,"11:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"378",2010-04-24,"","4/24/2010 22:15",0.132,"10:15:00","WIDNR_133040",NA,NA,NA,NA,NA
"379",2010-04-27,"","4/27/2010 7:00",0.106,"7:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"380",2010-04-30,"","4/30/2010 1:45",0.123,"1:45:00","WIDNR_133040","","4/30/2010 1:45",1e-04,"WIDNR_133040","1:45:00"
"381",2010-05-01,"","5/1/2010 23:30",0.131,"11:30:00","WIDNR_133040",NA,NA,NA,NA,NA
"382",2010-05-05,"","5/5/2010 22:15",0.145,"10:15:00","WIDNR_133040",NA,NA,NA,NA,NA
"383",2010-05-11,"","5/11/2010 5:30",0.125,"5:30:00","WIDNR_133040",NA,NA,NA,NA,NA
"384",2010-05-13,"","5/13/2010 10:45",0.081,"10:45:00","WIDNR_133040",NA,NA,NA,NA,NA
"385",2010-05-14,"","5/14/2010 17:15",0.097,"5:15:00","WIDNR_133040",NA,NA,NA,NA,NA
"386",2010-05-18,"","5/18/2010 9:30",0.135,"9:30:00","WIDNR_133040",NA,NA,NA,NA,NA
"387",2010-05-26,"","5/26/2010 14:30",0.104,"2:30:00","WIDNR_133040",NA,NA,NA,NA,NA
"388",2010-06-03,"","6/3/2010 8:45",0.134,"8:45:00","WIDNR_133040",NA,NA,NA,NA,NA
"389",2010-06-06,"","6/6/2010 23:30",0.109,"11:30:00","WIDNR_133040",NA,NA,NA,NA,NA
"390",2010-06-09,"","6/9/2010 19:15",0.122,"7:15:00","WIDNR_133040",NA,NA,NA,NA,NA
"391",2010-06-16,"","6/16/2010 8:25",0.134,"8:25:00","WIDNR_133040","","6/16/2010 8:25",1e-04,"WIDNR_133040","8:25:00"
"392",2010-06-19,"","6/19/2010 19:15",0.119,"7:15:00","WIDNR_133040",NA,NA,NA,NA,NA
"393",2010-06-22,"","6/22/2010 23:30",0.079,"11:30:00","WIDNR_133040",NA,NA,NA,NA,NA
"394",2010-06-23,"","6/23/2010 12:00",0.116,"12:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"395",2010-06-24,"","6/24/2010 23:30",0.231,"11:30:00","WIDNR_133040","","6/24/2010 8:30",0.018,"WIDNR_133040","8:30:00"
"396",2010-06-26,"","6/26/2010 11:00",0.235,"11:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"397",2010-06-29,"","6/29/2010 10:45",0.215,"10:45:00","WIDNR_133040",NA,NA,NA,NA,NA
"398",2010-07-06,"","7/6/2010 16:20",0.169,"4:20:00","WIDNR_133040","","7/6/2010 16:20",0.004,"WIDNR_133040","4:20:00"
"399",2010-07-11,"","7/11/2010 11:15",0.174,"11:15:00","WIDNR_133040",NA,NA,NA,NA,NA
"400",2010-07-16,"","7/16/2010 6:00",0.131,"6:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"401",2010-07-19,"","7/19/2010 9:50",0.223,"9:50:00","WIDNR_133040","","7/19/2010 9:50",0.004,"WIDNR_133040","9:50:00"
